lot,gridPips,tpMoney
0.01,650,3
0.01,650,13.08
0.01,650,19.68
0.01,650,26.32
0.01,650,33
0.02,650,46.34
0.02,650,59.76
0.02,650,73.26
0.02,650,86.84
0.02,650,100.5
0.03,650,120.96
0.03,650,141.54
0.03,650,162.24
0.04,650,189.84
0.04,650,217.6
0.05,650,252.34
0.05,650,287.28
0.06,650,329.28
0.06,650,371.52
0.07,650,420.9
0.07,650,470.56
0.08,650,527.44
0.08,650,584.64
0.09,650,649.14
0.09,650,714
0.1,650,786.24
0.1,650,858.88
0.11,650,938.98
0.11,650,1019.52
0.12,650,1107.6
0.12,650,1196.16
0.13,650,1292.34
0.13,650,1389.04
0.14,650,1493.44
0.14,650,1598.4
0.15,650,1711.14
0.15,650,1824.48
0.16,650,1945.68
0.16,650,2067.52
0.17,650,2197.3
0.17,650,2327.76
0.18,650,2466.24
0.18,650,2605.44
0.19,650,2752.74
0.19,650,2900.8
0.2,650,3057.04
0.2,650,3214.08
0.21,650,3379.38
0.21,650,3545.52
0.22,650,3720
0.22,650,3895.36
0.23,650,4079.14
0.23,650,4263.84
0.24,650,4457.04
0.24,650,4651.2
0.25,650,4853.94
0.25,650,5057.68
0.26,650,5270.08
0.26,650,5483.52
0.27,650,5705.7
0.27,650,5928.96
0.28,650,6161.04
0.28,650,6394.24
0.29,650,6636.34
0.29,650,6879.6
0.3,650,7131.84
0.3,650,7385.28
0.31,650,7647.78
0.31,650,7911.52
0.32,650,8184.4
0.32,650,8458.56
0.33,650,8741.94
0.33,650,9026.64
0.34,650,9320.64
0.34,650,9616
0.35,650,9920.74
0.35,650,10226.88
0.36,650,10542.48
0.36,650,10859.52
0.37,650,11186.1
0.37,650,11514.16
0.38,650,11851.84
0.38,650,12191.04
0.39,650,12539.94
0.39,650,12890.4
0.4,650,13250.64
0.4,650,13612.48
0.41,650,13984.18
0.41,650,14357.52
0.42,650,14740.8
0.42,650,15125.76
0.43,650,15520.74
0.43,650,15917.44
0.44,650,16324.24
0.44,650,16732.8
0.45,650,17151.54
0.45,650,17572.08
0.46,650,18002.88
0.46,650,18435.52
0.47,650,18878.5
0.47,650,19323.36
0.48,650,19778.64
0.48,650,20235.84
0.49,650,20450.25
0.49,650,20891.57
0.5,650,21337.66
0.5,650,21788.5
0.51,650,22244.11
0.51,650,22704.48
0.52,650,23169.61
0.52,650,23639.49
0.53,650,24114.14
0.53,650,24593.55
0.54,650,25077.72
0.54,650,25566.65
0.55,650,26060.34
0.55,650,26558.79
0.56,650,27062
0.56,650,27569.97
0.57,650,28082.71
0.57,650,28600.2
0.58,650,29122.45
0.58,650,29649.46
0.59,650,30181.24
0.59,650,30717.77
0.6,650,31259.07
0.6,650,31805.12
0.61,650,32355.94
0.61,650,32911.51
0.62,650,33471.85
0.62,650,34036.94
0.63,650,34606.8
0.63,650,35181.42
0.64,650,35760.8
0.64,650,36344.93
0.65,650,36933.83
0.65,650,37527.49
0.66,650,38125.91
0.66,650,38729.09
0.67,650,39337.03
0.67,650,39949.73
0.68,650,40567.19
0.68,650,41189.41
0.69,650,41816.4
0.69,650,42448.14
0.7,650,43084.64
0.7,650,43725.9
0.71,650,44371.93
0.71,650,45022.71
0.72,650,45678.26
0.72,650,46338.56
0.73,650,47003.63
0.73,650,47673.45
0.74,650,48348.04
0.74,650,49027.38
0.75,650,49711.49
0.75,650,50400.36
0.76,650,51093.99
0.76,650,51792.37
0.77,650,52495.52
0.77,650,53203.43
0.78,650,53916.1
0.78,650,54633.53
0.79,650,55355.72
0.79,650,56082.67
0.8,650,56814.38
0.8,650,57550.85
0.81,650,58292.08
0.81,650,59038.08
0.82,650,59788.83
0.82,650,60544.34
0.83,650,61304.62
0.83,650,62069.65
0.84,650,62839.44
0.84,650,63614
0.85,650,64393.31
0.85,650,65177.39
0.86,650,65966.22
0.86,650,66759.82
0.87,650,67558.18
0.87,650,68361.29
0.88,650,69169.17
0.88,650,69981.81
0.89,650,70799.21
0.89,650,71621.37
0.9,650,72448.29
0.9,650,73279.97
0.91,650,74116.41
0.91,650,74957.61
0.92,650,75803.57
0.92,650,76654.29
0.93,650,77509.77
0.93,650,78370.01
0.94,650,79235.01
0.94,650,80104.78
0.95,650,80979.3
0.95,650,81858.58
0.96,650,82742.63
0.96,650,83631.43
0.97,650,84525
