lot,gridPips,tpMoney
0.01,260,10
0.01,260,10
0.01,260,10
0.01,260,15
0.01,260,15
0.02,260,21.82
0.02,260,22.48
0.02,260,24.14
0.02,260,26.79
0.02,260,30.44
0.03,260,35.09
0.03,260,40.72
0.03,260,47.35
0.04,260,54.98
0.04,260,63.6
0.05,260,73.22
0.05,260,83.82
0.06,260,95.43
0.06,260,108.03
0.06,260,121.62
0.06,260,136.21
0.08,260,151.79
0.08,260,168.36
0.09,260,185.93
0.09,260,204.5
0.1,260,224.06
0.1,260,244.61
0.11,260,266.16
0.11,260,288.7
0.12,260,312.24
0.12,260,336.77
0.13,260,362.29
0.13,260,388.81
0.14,260,416.33
0.14,260,444.84
0.15,260,474.34
0.15,260,504.84
0.16,260,536.33
0.16,260,568.82
0.16,260,602.3
0.16,260,636.77
0.18,260,672.24
0.18,260,708.71
0.19,260,746.17
0.19,260,784.62
0.2,260,824.07
0.2,260,864.51
0.21,260,905.95
0.21,260,948.38
0.22,260,991.8
0.22,260,1
0.23,260,1
0.23,260,1
0.24,260,1
0.24,260,1
0.25,260,1
0.25,260,1
0.26,260,1
0.26,260,1
0.26,260,1
0.26,260,1
0.26,260,1
0.26,260,1
0.26,260,1
0.26,260,1
0.26,260,1
0.26,260,1
0.26,260,1
0.26,260,2
0.26,260,2
0.26,260,2
0.26,260,2
0.26,260,2
0.26,260,2
0.26,260,2
0.26,260,2
0.26,260,2
0.26,260,2
0.26,260,2
0.26,260,2
0.26,260,2
0.26,260,2
0.26,260,2
0.26,260,3
0.26,260,3
0.26,260,3
0.26,260,3
0.26,260,3
0.26,260,3
0.26,260,3
0.26,260,3
0.26,260,3
0.26,260,3
0.26,260,3
0.26,260,3
0.26,260,4
0.26,260,4
0.26,260,4
0.26,260,4
0.26,260,4
0.26,260,4
0.26,260,4
0.26,260,4
0.26,260,4
0.26,260,4
0.26,260,5
0.26,260,5
0.26,260,5
0.26,260,5
0.26,260,5
0.26,260,5
0.26,260,5
0.26,260,5
0.26,260,5
0.26,260,5
0.26,260,6
0.26,260,6
0.26,260,6
0.26,260,6
0.26,260,6
0.26,260,6
0.26,260,6
0.26,260,6
0.26,260,6
0.26,260,7
0.26,260,7
0.26,260,7
0.26,260,7
0.26,260,7
0.26,260,7
0.26,260,7
0.26,260,7
0.26,260,8
0.26,260,8
0.26,260,8
0.26,260,8
0.26,260,8
0.26,260,8
0.26,260,8
0.26,260,8
0.26,260,9
0.26,260,9
0.26,260,9
0.26,260,9
0.26,260,9
0.26,260,9
0.26,260,9
0.26,260,10
0.26,260,10
0.26,260,10
0.26,260,10
0.26,260,10
0.26,260,10
0.26,260,10
0.26,260,11
0.26,260,11
0.26,260,11
0.26,260,11
0.26,260,11
0.26,260,11
0.26,260,11
0.26,260,12
0.26,260,12
0.26,260,12
0.26,260,12
0.26,260,12
0.26,260,12
0.26,260,13
0.26,260,13
0.26,260,13
0.26,260,13
0.26,260,13
0.26,260,13
0.26,260,14
0.26,260,14
0.26,260,14
0.26,260,14
0.26,260,14
0.26,260,14
0.26,260,15
0.26,260,15
0.26,260,15
0.26,260,15
0.26,260,15
0.26,260,15
0.26,260,16
0.26,260,16
0.26,260,16
0.26,260,16
0.26,260,16
0.26,260,17
0.26,260,17
0.26,260,17
0.26,260,17
0.26,260,17
0.26,260,18
0.26,260,18
0.26,260,18
0.26,260,18
0.26,260,18
