lot,gridPips,tpMoney
0.01,210,3
0.01,210,3
0.01,210,4.5
0.01,210,6
0.01,210,7.5
0.01,210,9
0.01,210,10.5
0.01,210,12
0.02,210,15
0.02,210,18
0.02,210,21
0.02,210,24
0.02,210,27
0.02,210,30
0.02,210,33
0.02,210,36
0.03,210,40.5
0.03,210,45
0.03,210,49.5
0.03,210,54
0.03,210,58.5
0.03,210,63
0.03,210,67.5
0.03,210,72
0.04,210,78
0.04,210,84
0.04,210,90
0.04,210,96
0.04,210,102
0.04,210,108
0.04,210,114
0.04,210,120
0.05,210,127.5
0.05,210,135
0.05,210,142.5
0.05,210,150
0.05,210,157.5
0.05,210,165
0.05,210,172.5
0.05,210,180
0.06,210,189
0.06,210,198
0.06,210,207
0.06,210,216
0.06,210,225
0.06,210,234
0.06,210,243
0.06,210,252
0.07,210,262.5
0.07,210,273
0.07,210,283.5
0.07,210,294
0.07,210,304.5
0.07,210,315
0.07,210,325.5
0.07,210,336
0.08,210,348
0.08,210,360
0.08,210,372
0.08,210,384
0.08,210,396
0.08,210,408
0.08,210,420
0.08,210,432
0.09,210,445.5
0.09,210,459
0.09,210,472.5
0.09,210,486
0.09,210,499.5
0.09,210,513
0.09,210,526.5
0.09,210,540
0.1,210,555
0.1,210,570
0.1,210,585
0.1,210,600
0.1,210,615
0.1,210,630
0.1,210,645
0.1,210,660
0.11,210,676.5
0.11,210,693
0.11,210,709.5
0.11,210,726
0.11,210,742.5
0.11,210,759
0.11,210,775.5
0.11,210,792
0.12,210,810
0.12,210,828
0.12,210,846
0.12,210,864
0.12,210,882
0.12,210,900
0.12,210,918
0.12,210,936
0.13,210,955.5
0.13,210,975
0.13,210,994.5
0.13,210,1014
0.13,210,1033.5
0.13,210,1053
0.13,210,1072.5
0.13,210,1093.01
0.14,210,1113.35
0.14,210,1133.88
0.14,210,1154.6
0.14,210,1175.51
0.14,210,1196.6
0.14,210,1217.88
0.14,210,1239.35
0.14,210,1261.01
0.15,210,1282.85
0.15,210,1304.88
0.15,210,1327.1
0.15,210,1349.51
0.15,210,1372.1
0.15,210,1394.88
0.15,210,1417.85
0.15,210,1441
0.16,210,1464.35
0.16,210,1487.88
0.16,210,1511.6
0.16,210,1535.5
0.16,210,1559.6
0.16,210,1583.88
0.16,210,1608.35
0.16,210,1633
0.17,210,1657.85
0.17,210,1682.88
0.17,210,1708.1
0.17,210,1733.5
0.17,210,1759.09
0.17,210,1784.88
0.17,210,1810.84
0.17,210,1837
0.18,210,1863.34
0.18,210,1889.87
0.18,210,1916.59
0.18,210,1943.5
0.18,210,1970.59
0.18,210,1997.87
0.18,210,2025.34
0.18,210,2053
0.19,210,2080.84
0.19,210,2108.87
0.19,210,2137.09
0.19,210,2165.49
0.19,210,2194.09
0.19,210,2222.87
0.19,210,2251.84
0.19,210,2280.99
0.2,210,2310.33
0.2,210,2339.86
0.2,210,2369.58
0.2,210,2399.49
0.2,210,2429.58
0.2,210,2459.86
0.2,210,2490.33
0.2,210,2520.98
0.21,210,2551.83
0.21,210,2582.86
0.21,210,2614.08
0.21,210,2645.48
0.21,210,2677.07
0.21,210,2708.86
0.21,210,2740.82
0.21,210,2772.98
0.22,210,2805.32
0.22,210,2837.85
0.22,210,2870.57
0.22,210,2903.47
0.22,210,2936.57
0.22,210,2969.85
0.22,210,3003.32
0.22,210,3036.97
0.23,210,3070.81
0.23,210,3104.84
0.23,210,3139.06
0.23,210,3173.47
0.23,210,3208.06
0.23,210,3242.84
0.23,210,3277.81
0.23,210,3312.96
0.24,210,3348.3
0.24,210,3383.84
0.24,210,3419.55
0.24,210,3455.46
0.24,210,3491.55
0.24,210,3527.83
0.24,210,3564.3
0.24,210,3600.95
0.25,210,3637.8
0.25,210,3674.83
0.25,210,3712.04
0.25,210,3749.45
0.25,210,3787.04
0.25,210,3824.82
0.25,210,3862.79
0.25,210,3900.94
