lot,gridPips,tpMoney
0.01,560,5.6
0.01,560,11.28
0.01,560,16.98
0.01,560,22.72
0.01,560,28.5
0.02,560,40.04
0.02,560,51.66
0.02,560,63.36
0.02,560,75.14
0.02,560,87
0.03,560,104.76
0.03,560,122.64
0.03,560,140.64
0.04,560,164.64
0.04,560,188.8
0.05,560,219.04
0.05,560,249.48
0.06,560,286.08
0.06,560,322.92
0.07,560,366
0.07,560,409.36
0.08,560,459.04
0.08,560,509.04
0.09,560,565.44
0.09,560,622.2
0.1,560,685.44
0.1,560,749.08
0.11,560,819.28
0.11,560,889.92
0.12,560,967.2
0.12,560,1044.96
0.13,560,1129.44
0.13,560,1214.44
0.14,560,1306.24
0.14,560,1398.6
0.15,560,1497.84
0.15,560,1597.68
0.16,560,1704.48
0.16,560,1811.92
0.17,560,1926.4
0.17,560,2041.56
0.18,560,2163.84
0.18,560,2286.84
0.19,560,2417.04
0.19,560,2548
0.2,560,2686.24
0.2,560,2825.28
0.21,560,2971.68
0.21,560,3118.92
0.22,560,3273.6
0.22,560,3429.16
0.23,560,3592.24
0.23,560,3756.24
0.24,560,3927.84
0.24,560,4100.4
0.25,560,4280.64
0.25,560,4461.88
0.26,560,4650.88
0.26,560,4840.92
0.27,560,5038.8
0.27,560,5237.76
0.28,560,5444.64
0.28,560,5652.64
0.29,560,5868.64
0.29,560,6085.8
0.3,560,6311.04
0.3,560,6537.48
0.31,560,6772.08
0.31,560,7007.92
0.32,560,7252
0.32,560,7497.36
0.33,560,7751.04
0.33,560,8006.04
0.34,560,8269.44
0.34,560,8534.2
0.35,560,8807.44
0.35,560,9082.08
0.36,560,9365.28
0.36,560,9649.92
0.37,560,9943.2
0.37,560,10237.96
0.38,560,10541.44
0.38,560,10846.44
0.39,560,11160.24
0.39,560,11475.6
0.4,560,11799.84
0.4,560,12125.68
0.41,560,12460.48
0.41,560,12796.92
0.42,560,13142.4
0.42,560,13489.56
0.43,560,13845.84
0.43,560,14203.84
0.44,560,14571.04
0.44,560,14940
0.45,560,15318.24
0.45,560,15698.28
0.46,560,16087.68
0.46,560,16478.92
0.47,560,16879.6
0.47,560,17282.16
0.48,560,17694.24
0.48,560,18108.24
0.49,560,18531.84
0.49,560,18957.4
0.5,560,19392.64
0.5,560,19829.88
0.51,560,20276.88
0.51,560,20725.92
0.52,560,21184.8
0.52,560,21645.76
0.53,560,22116.64
0.53,560,22589.64
0.54,560,23072.64
0.54,560,23557.8
0.55,560,24053.04
0.55,560,24550.48
0.56,560,25058.08
0.56,560,25567.92
0.57,560,26088
0.57,560,26610.36
0.58,560,27143.04
0.58,560,27678.04
0.59,560,28223.44
0.59,560,28771.2
0.6,560,29329.44
0.6,560,29890.08
0.61,560,30461.28
0.61,560,31034.92
0.62,560,31619.2
0.62,560,32205.96
0.63,560,32803.44
0.63,560,33403.44
0.64,560,34014.24
0.64,560,34627.6
0.65,560,35251.84
0.65,560,35878.68
0.66,560,36516.48
0.66,560,37156.92
0.67,560,37808.4
0.67,560,38462.56
0.68,560,39127.84
0.68,560,39795.84
0.69,560,40475.04
0.69,560,41157
0.7,560,41850.24
0.7,560,42546.28
0.71,560,43253.68
0.71,560,43963.92
0.72,560,44685.6
0.72,560,45410.16
0.73,560,46146.24
0.73,560,46885.24
0.74,560,47635.84
0.74,560,48389.4
0.75,560,49154.64
0.75,560,49922.88
0.76,560,50702.88
0.76,560,51485.92
0.77,560,52280.8
0.77,560,53078.76
0.78,560,53888.64
0.78,560,54701.64
0.79,560,55526.64
0.79,560,56354.8
0.8,560,57195.04
0.8,560,58038.48
0.81,560,58894.08
0.81,560,59752.92
0.82,560,60624
0.82,560,61498.36
0.83,560,62385.04
0.83,560,63275.04
0.84,560,64177.44
0.84,560,65083.2
0.85,560,64727.06
0.85,560,65561.66
0.86,560,66401.65
0.86,560,67247.04
0.87,560,68097.82
0.87,560,68954
0.88,560,69815.57
0.88,560,70682.54
0.89,560,71554.89
0.89,560,72432.65
0.9,560,73315.8
0.9,560,74204.34
0.91,560,75098.27
0.91,560,75997.6
0.92,560,76902.33
0.92,560,77812.45
0.93,560,78727.96
0.93,560,79648.87
0.94,560,80575.17
0.94,560,81506.86
0.95,560,82443.95
0.95,560,83386.44
0.96,560,84334.32
0.96,560,85287.59
0.97,560,86246.26
0.97,560,87210.32
0.98,560,88179.77
0.98,560,89154.62
0.99,560,90134.86
0.99,560,91120.5
1,560,92111.53
1,560,93107.96
1.01,560,94109.78
1.01,560,95116.99
1.02,560,96129.6
1.02,560,97147.61
1.03,560,98171
1.03,560,99199.79
1.04,560,100233.98
1.04,560,101273.56
1.05,560,102318.53
1.05,560,103368.9
1.06,560,104424.66
1.06,560,105485.82
1.07,560,106552.37
1.07,560,107624.32
1.08,560,108701.66
1.08,560,109784.39
1.09,560,110872.52
1.09,560,111966.04
1.1,560,113064.95
1.1,560,114169.26
1.11,560,115278.97
1.11,560,116394.07
1.12,560,117514.56
1.12,560,118640.45
1.13,560,119771.73
1.13,560,120908.4
1.14,560,122050.47
1.14,560,123197.94
1.15,560,124350.79
1.15,560,125509.05
1.16,560,126672.69
1.16,560,127841.73
1.17,560,129016.17
1.17,560,130196
1.18,560,131381.22
1.18,560,132571.84
1.19,560,133767.85
1.19,560,134969.26
1.2,560,136176.06
1.2,560,137388.25
1.21,560,138605.84
1.21,560,139828.82
1.22,560,141057.2
1.22,560,142290.97
1.23,560,143530.13
1.23,560,144774.69
1.24,560,146024.65
1.24,560,147280
1.25,560,148540.74
1.25,560,149806.87
1.26,560,151078.4
1.26,560,152355.33
1.27,560,153637.65
1.27,560,154925.36
1.28,560,156218.47
1.28,560,157516.97
1.29,560,158820.87
1.29,560,160130.15
1.3,560,161444.84
1.3,560,162764.92
1.31,560,164090.39
1.31,560,165421.26
1.32,560,166757.52
1.32,560,168099.17
1.33,560,169446.22
1.33,560,170798.67
1.34,560,172156.5
1.34,560,173519.74
1.35,560,174888.36
1.35,560,176262.38
1.36,560,177641.8
1.36,560,179026.61
1.37,560,180416.81
1.37,560,181812.41
1.38,560,183213.4
1.38,560,184619.78
1.39,560,186031.56
1.39,560,187448.74
1.4,560,188871.3
1.4,560,190299.27
1.41,560,191732.62
1.41,560,193171.37
1.42,560,194615.52
1.42,560,196065.06
1.43,560,197519.99
1.43,560,198980.32
1.44,560,200446.04
1.44,560,201917.16
1.45,560,203393.67
1.45,560,204875.57
1.46,560,206362.87
1.46,560,207855.56
1.47,560,209353.65
1.47,560,210857.13
1.48,560,212366.01
1.48,560,213880.28
1.49,560,215399.94
1.49,560,216925
1.5,560,218455.45
1.5,560,219991.3
1.51,560,221532.54
1.51,560,223079.17
1.52,560,224631.2
1.52,560,226188.63
1.53,560,227751.44
1.53,560,229319.66
1.54,560,230893.26
1.54,560,232472.26
1.55,560,234056.66
1.55,560,235646.44
1.56,560,237241.63
1.56,560,238842.2
1.57,560,240448.18
1.57,560,242059.54
1.58,560,243676.3
1.58,560,245298.45
1.59,560,246926
1.59,560,248558.94
1.6,560,250197.28
1.6,560,251841.01
1.61,560,253490.14
1.61,560,255144.65
1.62,560,256804.57
1.62,560,258469.88
1.63,560,260140.58
1.63,560,261816.67
1.64,560,263498.16
1.64,560,265185.05
1.65,560,266877.33
1.65,560,268575
1.66,560,270278.06
1.66,560,271986.53
1.67,560,273700.38
1.67,560,275419.63
1.68,560,277144.27
1.68,560,278874.31
1.69,560,280609.74
1.69,560,282350.57
1.7,560,284096.79
1.7,560,285848.41
1.71,560,287605.41
