lot,gridPips,tpMoney
0.01,340,3
0.01,340,5
0.01,340,6
0.01,340,8
0.01,340,10
0.02,340,12.53
0.02,340,13.13
0.02,340,14.47
0.02,340,16.55
0.02,340,19.39
0.03,340,22.97
0.03,340,27.29
0.03,340,32.36
0.04,340,38.18
0.04,340,44.75
0.05,340,52.06
0.05,340,60.11
0.06,340,68.92
0.06,340,78.46
0.07,340,88.76
0.07,340,99.8
0.08,340,111.59
0.08,340,124.12
0.09,340,137.4
0.09,340,151.43
0.1,340,166.2
0.1,340,181.72
0.11,340,197.98
0.11,340,214.99
0.12,340,232.75
0.12,340,251.25
0.13,340,270.5
0.13,340,290.49
0.14,340,311.24
0.14,340,332.72
0.15,340,354.96
0.15,340,377.94
0.16,340,401.66
0.16,340,426.13
0.17,340,451.35
0.17,340,477.32
0.18,340,504.03
0.18,340,531.48
0.19,340,559.69
0.19,340,588.64
0.2,340,618.33
0.2,340,648.77
0.21,340,679.96
0.21,340,711.89
0.22,340,744.57
0.22,340,778
0.23,340,812.17
0.23,340,847.09
0.24,340,882.76
0.24,340,919.17
0.25,340,956.32
0.25,340,994.23
0.26,340,1032.88
0.26,340,1072.27
0.27,340,1112.41
0.27,340,1153.3
0.28,340,1194.93
0.28,340,1237.31
0.29,340,1280.44
0.29,340,1324.31
0.3,340,1368.93
0.3,340,1414.3
0.31,340,1460.41
0.31,340,1507.26
0.32,340,1554.87
0.32,340,1603.22
0.33,340,1652.31
0.33,340,1702.15
0.34,340,1752.74
0.34,340,1804.08
0.35,340,1856.16
0.35,340,1908.98
0.36,340,1962.56
0.36,340,2016.87
0.37,340,2071.94
0.37,340,2127.75
0.38,340,2184.31
0.38,340,2241.61
0.39,340,2299.66
0.39,340,2358.46
0.4,340,2418
0.4,340,2478.29
0.41,340,2539.32
0.41,340,2601.1
0.42,340,2663.63
0.42,340,2726.9
0.43,340,2790.92
0.43,340,2855.68
0.44,340,2921.19
0.44,340,2987.45
0.45,340,3054.46
0.45,340,3122.2
0.46,340,3190.7
0.46,340,3259.94
0.47,340,3329.93
0.47,340,3400.67
0.48,340,3472.15
0.48,340,3544.37
0.49,340,3617.35
0.49,340,3691.06
0.5,340,3765.53
0.5,340,3840.74
0.51,340,3916.7
0.51,340,3993.4
0.52,340,4070.85
0.52,340,4149.05
0.53,340,4227.99
0.53,340,4307.68
0.54,340,4388.11
0.54,340,4469.29
0.55,340,4551.22
0.55,340,4633.89
0.56,340,4717.31
0.56,340,4801.48
0.57,340,4886.39
0.57,340,4972.05
0.58,340,5058.45
0.58,340,5145.6
0.59,340,5233.5
0.59,340,5322.14
0.6,340,5411.53
0.6,340,5501.66
0.61,340,5592.54
0.61,340,5684.17
0.62,340,5776.54
0.62,340,5869.66
0.63,340,5963.53
0.63,340,6058.14
0.64,340,6153.5
0.64,340,6249.6
0.65,340,6346.45
0.65,340,6444.05
0.66,340,6542.39
0.66,340,6641.48
0.67,340,6741.31
0.67,340,6841.9
0.68,340,6943.22
0.68,340,7045.3
0.69,340,7148.12
0.69,340,7251.68
0.7,340,7355.99
0.7,340,7461.05
0.71,340,7566.86
0.71,340,7673.41
0.72,340,7780.7
0.72,340,7888.74
0.73,340,7997.53
0.73,340,8107.07
0.74,340,8217.35
0.74,340,8328.38
0.75,340,8440.15
0.75,340,8552.67
0.76,340,8665.94
0.76,340,8779.95
0.77,340,8894.71
0.77,340,9010.21
0.78,340,9126.46
0.78,340,9243.46
0.79,340,9361.2
0.79,340,9479.69
0.8,340,9598.92
0.8,340,9718.91
0.81,340,9839.63
0.81,340,9961.11
0.82,340,10083.33
0.82,340,10206.29
0.83,340,10330
0.83,340,10454.46
0.84,340,10579.67
0.84,340,10705.62
0.85,340,10832.31
0.85,340,10959.76
0.86,340,11087.95
0.86,340,11216.88
0.87,340,11346.56
0.87,340,11476.99
0.88,340,11608.16
0.88,340,11740.08
0.89,340,11872.75
0.89,340,12006.16
0.9,340,12140.32
0.9,340,12275.23
0.91,340,12410.88
0.91,340,12547.27
0.92,340,12684.42
0.92,340,12822.31
0.93,340,12960.94
0.93,340,13100.32
0.94,340,13240.45
0.94,340,13381.33
0.95,340,13522.95
0.95,340,13665.31
0.96,340,13808.42
0.96,340,13952.28
0.97,340,14096.89
