lot,gridPips,tpMoney
0.01,1120,11.2
0.01,1120,22.48
0.01,1120,33.78
0.01,1120,45.12
0.01,1120,56.5
0.02,1120,79.24
0.02,1120,102.06
0.02,1120,124.96
0.02,1120,147.94
0.02,1120,171
0.03,1120,205.56
0.03,1120,240.24
0.03,1120,275.04
0.04,1120,321.44
0.04,1120,368
0.05,1120,426.24
0.05,1120,484.68
0.06,1120,554.88
0.06,1120,625.32
0.07,1120,707.6
0.07,1120,790.16
0.08,1120,884.64
0.08,1120,979.44
0.09,1120,1086.24
0.09,1120,1193.4
0.1,1120,1312.64
0.1,1120,1432.28
0.11,1120,1564.08
0.11,1120,1696.32
0.12,1120,1840.8
0.12,1120,1985.76
0.13,1120,2143.04
0.13,1120,2300.84
0.14,1120,2471.04
0.14,1120,2641.8
0.15,1120,2825.04
0.15,1120,3008.88
0.16,1120,3205.28
0.16,1120,3402.32
0.17,1120,3612
0.17,1120,3822.36
0.18,1120,4045.44
0.18,1120,4269.24
0.19,1120,4505.84
0.19,1120,4743.2
0.2,1120,4993.44
0.2,1120,5244.48
0.21,1120,5508.48
0.21,1120,5773.32
0.22,1120,6051.2
0.22,1120,6329.96
0.23,1120,6621.84
0.23,1120,6914.64
0.24,1120,7220.64
0.24,1120,7527.6
0.25,1120,7847.84
0.25,1120,8169.08
0.26,1120,8503.68
0.26,1120,8839.32
0.27,1120,9188.4
0.27,1120,9538.56
0.28,1120,9902.24
0.28,1120,10267.04
0.29,1120,10645.44
0.29,1120,11025
0.3,1120,11418.24
0.3,1120,11812.68
0.31,1120,12220.88
0.31,1120,12630.32
0.32,1120,13053.6
0.32,1120,13478.16
0.33,1120,13916.64
0.33,1120,14356.44
0.34,1120,14810.24
0.34,1120,15265.4
0.35,1120,15734.64
0.35,1120,16205.28
0.36,1120,16690.08
0.36,1120,17176.32
0.37,1120,17676.8
0.37,1120,18178.76
0.38,1120,18695.04
0.38,1120,19212.84
0.39,1120,19745.04
0.39,1120,20278.8
0.4,1120,20827.04
0.4,1120,21376.88
0.41,1120,21941.28
0.41,1120,22507.32
0.42,1120,23088
0.42,1120,23670.36
0.43,1120,24267.44
0.43,1120,24866.24
0.44,1120,25479.84
0.44,1120,26095.2
0.45,1120,26725.44
0.45,1120,27357.48
0.46,1120,28004.48
0.46,1120,28653.32
0.47,1120,29317.2
0.47,1120,29982.96
0.48,1120,30663.84
0.48,1120,31346.64
0.49,1120,32044.64
0.49,1120,32744.6
0.5,1120,33459.84
0.5,1120,34177.08
0.51,1120,34909.68
0.51,1120,35644.32
0.52,1120,36394.4
0.52,1120,37146.56
0.53,1120,37914.24
0.53,1120,38684.04
0.54,1120,39469.44
0.54,1120,40257
0.55,1120,41060.24
0.55,1120,41865.68
0.56,1120,42686.88
0.56,1120,43510.32
0.57,1120,44349.6
0.57,1120,45191.16
0.58,1120,46048.64
0.58,1120,46908.44
0.59,1120,47784.24
0.59,1120,48662.4
0.6,1120,49556.64
0.6,1120,50453.28
0.61,1120,51366.08
0.61,1120,52281.32
0.62,1120,53212.8
0.62,1120,54146.76
0.63,1120,55097.04
0.63,1120,56049.84
0.64,1120,57019.04
0.64,1120,57990.8
0.65,1120,58979.04
0.65,1120,59969.88
0.66,1120,60977.28
0.66,1120,61987.32
0.67,1120,63014
0.67,1120,64043.36
0.68,1120,65089.44
0.68,1120,66138.24
0.69,1120,67203.84
0.69,1120,68272.2
0.7,1120,69357.44
0.7,1120,70445.48
0.71,1120,71550.48
0.71,1120,72658.32
0.72,1120,73783.2
0.72,1120,74910.96
0.73,1120,76055.84
0.73,1120,77203.64
0.74,1120,78368.64
0.74,1120,79536.6
0.75,1120,80721.84
0.75,1120,81910.08
0.76,1120,83115.68
0.76,1120,84324.32
0.77,1120,85550.4
0.77,1120,86779.56
0.78,1120,88026.24
0.78,1120,89276.04
