lot,gridPips,tpMoney
0.01,220,3
0.01,220,3
0.01,220,4.5
0.01,220,6
0.01,220,7.5
0.01,220,9
0.01,220,10.5
0.02,220,13.5
0.02,220,16.5
0.02,220,19.5
0.02,220,22.5
0.02,220,25.5
0.02,220,28.5
0.02,220,31.5
0.03,220,36
0.03,220,40.5
0.03,220,45
0.03,220,49.5
0.03,220,54
0.03,220,58.5
0.03,220,63
0.04,220,69
0.04,220,75
0.04,220,81
0.04,220,87
0.04,220,93
0.04,220,99
0.04,220,105
0.05,220,112.5
0.05,220,120
0.05,220,127.5
0.05,220,135
0.05,220,142.5
0.05,220,150
0.05,220,157.5
0.06,220,166.5
0.06,220,175.5
0.06,220,184.5
0.06,220,193.5
0.06,220,202.5
0.06,220,211.5
0.06,220,220.5
0.07,220,231
0.07,220,241.5
0.07,220,252
0.07,220,262.5
0.07,220,273
0.07,220,283.5
0.07,220,294
0.08,220,306
0.08,220,318
0.08,220,330
0.08,220,342
0.08,220,354
0.08,220,366
0.08,220,378
0.09,220,391.5
0.09,220,405
0.09,220,418.5
0.09,220,432
0.09,220,445.5
0.09,220,459
0.09,220,472.5
0.1,220,487.5
0.1,220,502.5
0.1,220,517.5
0.1,220,532.5
0.1,220,547.5
0.1,220,562.5
0.1,220,577.5
0.11,220,594
0.11,220,610.5
0.11,220,627
0.11,220,643.5
0.11,220,660
0.11,220,676.5
0.11,220,693
0.12,220,711
0.12,220,729
0.12,220,747
0.12,220,765
0.12,220,783
0.12,220,801
0.12,220,819
0.13,220,838.5
0.13,220,858
0.13,220,877.5
0.13,220,897
0.13,220,916.5
0.13,220,936
0.13,220,955.5
0.14,220,976.5
0.14,220,997.5
0.14,220,1018.5
0.14,220,1039.5
0.14,220,1060.5
0.14,220,1081.5
0.14,220,1102.5
0.15,220,1125
0.15,220,1147.5
0.15,220,1170
0.15,220,1192.5
0.15,220,1215
0.15,220,1237.75
0.15,220,1260.9
0.16,220,1284.25
0.16,220,1307.83
0.16,220,1331.61
0.16,220,1355.61
0.16,220,1379.83
0.16,220,1404.26
0.16,220,1428.9
0.17,220,1453.76
0.17,220,1478.83
0.17,220,1504.12
0.17,220,1529.62
0.17,220,1555.33
0.17,220,1581.26
0.17,220,1607.41
0.18,220,1633.77
0.18,220,1660.34
0.18,220,1687.12
0.18,220,1714.12
0.18,220,1741.34
0.18,220,1768.77
0.18,220,1796.41
0.19,220,1824.27
0.19,220,1852.34
0.19,220,1880.63
0.19,220,1909.13
0.19,220,1937.85
0.19,220,1966.77
0.19,220,1995.92
0.2,220,2025.28
0.2,220,2054.85
0.2,220,2084.63
0.2,220,2114.64
0.2,220,2144.85
0.2,220,2175.28
0.2,220,2205.92
0.21,220,2236.78
0.21,220,2267.85
0.21,220,2299.14
0.21,220,2330.64
0.21,220,2362.36
0.21,220,2394.28
0.21,220,2426.43
0.22,220,2458.79
0.22,220,2491.36
0.22,220,2524.14
0.22,220,2557.15
0.22,220,2590.36
0.22,220,2623.79
0.22,220,2657.43
0.23,220,2691.29
0.23,220,2725.36
0.23,220,2759.65
0.23,220,2794.15
0.23,220,2828.87
0.23,220,2863.79
0.23,220,2898.94
0.24,220,2934.3
0.24,220,2969.87
0.24,220,3005.65
0.24,220,3041.66
0.24,220,3077.87
0.24,220,3114.3
0.24,220,3150.94
0.25,220,3187.8
0.25,220,3224.87
0.25,220,3262.16
0.25,220,3299.66
0.25,220,3337.38
0.25,220,3375.3
0.25,220,3413.45
0.26,220,3451.81
0.26,220,3490.38
0.26,220,3529.16
0.26,220,3568.17
0.26,220,3607.38
0.26,220,3646.81
0.26,220,3686.45
0.27,220,3726.31
0.27,220,3766.38
0.27,220,3806.67
0.27,220,3847.17
0.27,220,3887.89
0.27,220,3928.81
0.27,220,3969.96
0.28,220,4011.32
0.28,220,4052.89
0.28,220,4094.67
0.28,220,4136.67
0.28,220,4178.89
0.28,220,4221.32
0.28,220,4263.96
0.29,220,4306.82
0.29,220,4349.89
0.29,220,4393.18
0.29,220,4436.68
