lot,gridPips,tpMoney
0.01,290,3
0.01,290,3
0.01,290,4.5
0.01,290,6
0.02,290,9
0.02,290,12
0.02,290,15
0.02,290,18
0.03,290,22.5
0.03,290,27
0.03,290,31.5
0.03,290,36
0.04,290,42
0.04,290,48
0.04,290,54
0.04,290,60
0.05,290,67.5
0.05,290,75
0.05,290,82.5
0.05,290,90
0.06,290,99
0.06,290,108
0.06,290,117
0.06,290,126
0.07,290,136.5
0.07,290,147
0.07,290,157.5
0.07,290,168
0.08,290,180
0.08,290,192
0.08,290,204
0.08,290,216
0.09,290,229.5
0.09,290,243
0.09,290,256.5
0.09,290,270
0.1,290,285
0.1,290,300
0.1,290,315
0.1,290,330
0.11,290,346.5
0.11,290,363
0.11,290,379.5
0.11,290,396
0.12,290,414
0.12,290,432
0.12,290,450
0.12,290,468
0.13,290,487.5
0.13,290,507
0.13,290,526.5
0.13,290,546
0.14,290,567
0.14,290,588
0.14,290,609
0.14,290,630
0.15,290,652.5
0.15,290,675
0.15,290,697.5
0.15,290,720
0.16,290,744
0.16,290,768
0.16,290,792
0.16,290,816
0.17,290,841.5
0.17,290,867
0.17,290,892.5
0.17,290,918
0.18,290,945
0.18,290,972
0.18,290,999
0.18,290,1026
0.19,290,1054.5
0.19,290,1083
0.19,290,1111.5
0.19,290,1140
0.2,290,1170
0.2,290,1200
0.2,290,1230
0.2,290,1260
0.21,290,1291.5
0.21,290,1323
0.21,290,1354.5
0.21,290,1386
0.22,290,1419
0.22,290,1452
0.22,290,1485
0.22,290,1518
0.23,290,1552.5
0.23,290,1587
0.23,290,1621.5
0.23,290,1656
0.24,290,1692
0.24,290,1728
0.24,290,1764
0.24,290,1800
0.25,290,1837.5
0.25,290,1875
0.25,290,1912.5
0.25,290,1950
0.26,290,1989
0.26,290,2028
0.26,290,2067
0.26,290,2106.5
0.27,290,2146.43
0.27,290,2186.75
0.27,290,2227.44
0.27,290,2268.5
0.28,290,2309.94
0.28,290,2351.75
0.28,290,2393.94
0.28,290,2436.51
0.29,290,2479.44
0.29,290,2522.76
0.29,290,2566.45
0.29,290,2610.51
0.3,290,2654.95
0.3,290,2699.76
0.3,290,2744.95
0.3,290,2790.52
0.31,290,2836.46
0.31,290,2882.77
0.31,290,2929.46
0.31,290,2976.52
0.32,290,3023.96
0.32,290,3071.78
0.32,290,3119.97
0.32,290,3168.53
0.33,290,3217.47
0.33,290,3266.79
0.33,290,3316.47
0.33,290,3366.54
0.34,290,3416.98
0.34,290,3467.79
0.34,290,3518.98
0.34,290,3570.55
0.35,290,3622.49
0.35,290,3674.8
0.35,290,3727.49
0.35,290,3780.56
0.36,290,3833.99
0.36,290,3887.81
0.36,290,3942
0.36,290,3996.56
0.37,290,4051.5
0.37,290,4106.82
0.37,290,4162.51
0.37,290,4218.57
0.38,290,4275.01
0.38,290,4331.83
0.38,290,4389.02
0.38,290,4446.58
0.39,290,4504.52
0.39,290,4562.84
0.39,290,4621.53
0.39,290,4680.59
0.4,290,4740.03
0.4,290,4799.85
0.4,290,4860.04
0.4,290,4920.6
0.41,290,4981.54
0.41,290,5042.86
0.41,290,5104.55
0.41,290,5166.61
0.42,290,5229.05
0.42,290,5291.87
0.42,290,5355.06
0.42,290,5418.62
0.43,290,5482.56
0.43,290,5546.88
0.43,290,5611.57
0.43,290,5676.63
0.44,290,5742.08
0.44,290,5807.89
0.44,290,5874.08
0.44,290,5940.65
0.45,290,6007.59
0.45,290,6074.9
0.45,290,6142.59
0.45,290,6210.66
0.46,290,6279.1
0.46,290,6347.91
0.46,290,6417.11
0.46,290,6486.67
0.47,290,6556.61
0.47,290,6626.93
0.47,290,6697.62
0.47,290,6768.68
0.48,290,6840.12
0.48,290,6911.94
0.48,290,6984.13
0.48,290,7056.7
0.49,290,7129.64
0.49,290,7202.95
0.49,290,7276.64
0.49,290,7350.71
0.5,290,7425.15
0.5,290,7499.97
0.5,290,7575.16
0.5,290,7650.72
