lot,gridPips,tpMoney
0.01,250,10
0.01,250,10
0.01,250,10
0.01,250,15
0.01,250,15
0.02,250,21.82
0.02,250,22.48
0.02,250,24.14
0.02,250,26.79
0.02,250,30.44
0.03,250,35.09
0.03,250,40.72
0.03,250,47.35
0.04,250,54.98
0.04,250,63.6
0.05,250,73.22
0.05,250,83.82
0.06,250,95.43
0.06,250,108.03
0.06,250,121.62
0.06,250,136.21
0.08,250,151.79
0.08,250,168.36
0.09,250,185.93
0.09,250,204.5
0.1,250,224.06
0.1,250,244.61
0.11,250,266.16
0.11,250,288.7
0.12,250,312.24
0.12,250,336.77
0.13,250,362.29
0.13,250,388.81
0.14,250,416.33
0.14,250,444.84
0.15,250,474.34
0.15,250,504.84
0.16,250,536.33
0.16,250,568.82
0.16,250,602.3
0.16,250,636.77
0.18,250,672.24
0.18,250,708.71
0.19,250,746.17
0.19,250,784.62
0.2,250,824.07
0.2,250,864.51
0.21,250,905.95
0.21,250,948.38
0.22,250,991.8
0.22,250,1
0.23,250,1
0.23,250,1
0.24,250,1
0.24,250,1
0.25,250,1
0.25,250,1
0.26,250,1
0.26,250,1
0.26,250,1
0.26,250,1
0.26,250,1
0.26,250,1
0.26,250,1
0.26,250,1
0.26,250,1
0.26,250,1
0.26,250,1
0.26,250,2
0.26,250,2
0.26,250,2
0.26,250,2
0.26,250,2
0.26,250,2
0.26,250,2
0.26,250,2
0.26,250,2
0.26,250,2
0.26,250,2
0.26,250,2
0.26,250,2
0.26,250,2
0.26,250,2
0.26,250,3
0.26,250,3
0.26,250,3
0.26,250,3
0.26,250,3
0.26,250,3
0.26,250,3
0.26,250,3
0.26,250,3
0.26,250,3
0.26,250,3
0.26,250,3
0.26,250,4
0.26,250,4
0.26,250,4
0.26,250,4
0.26,250,4
0.26,250,4
0.26,250,4
0.26,250,4
0.26,250,4
0.26,250,4
0.26,250,5
0.26,250,5
0.26,250,5
0.26,250,5
0.26,250,5
0.26,250,5
0.26,250,5
0.26,250,5
0.26,250,5
0.26,250,5
0.26,250,6
0.26,250,6
0.26,250,6
0.26,250,6
0.26,250,6
0.26,250,6
0.26,250,6
0.26,250,6
0.26,250,6
0.26,250,7
0.26,250,7
0.26,250,7
0.26,250,7
0.26,250,7
0.26,250,7
0.26,250,7
0.26,250,7
0.26,250,8
0.26,250,8
0.26,250,8
0.26,250,8
0.26,250,8
0.26,250,8
0.26,250,8
0.26,250,8
0.26,250,9
0.26,250,9
0.26,250,9
0.26,250,9
0.26,250,9
0.26,250,9
0.26,250,9
0.26,250,10
0.26,250,10
0.26,250,10
0.26,250,10
0.26,250,10
0.26,250,10
0.26,250,10
0.26,250,11
0.26,250,11
0.26,250,11
0.26,250,11
0.26,250,11
0.26,250,11
0.26,250,11
0.26,250,12
0.26,250,12
0.26,250,12
0.26,250,12
0.26,250,12
0.26,250,12
0.26,250,13
0.26,250,13
0.26,250,13
0.26,250,13
0.26,250,13
0.26,250,13
0.26,250,14
0.26,250,14
0.26,250,14
0.26,250,14
0.26,250,14
0.26,250,14
0.26,250,15
0.26,250,15
0.26,250,15
0.26,250,15
0.26,250,15
0.26,250,15
0.26,250,16
0.26,250,16
0.26,250,16
0.26,250,16
0.26,250,16
0.26,250,17
0.26,250,17
0.26,250,17
0.26,250,17
0.26,250,17
0.26,250,18
0.26,250,18
0.26,250,18
0.26,250,18
0.26,250,18
