lot,gridPips,tpMoney
0.01,400,3
0.01,400,5
0.01,400,6
0.01,400,8
0.01,400,10
0.02,400,12.53
0.02,400,13.13
0.02,400,14.47
0.02,400,16.55
0.02,400,19.39
0.03,400,22.97
0.03,400,27.29
0.03,400,32.36
0.04,400,38.18
0.04,400,44.75
0.05,400,52.06
0.05,400,60.11
0.06,400,68.92
0.06,400,78.46
0.07,400,88.76
0.07,400,99.8
0.08,400,111.59
0.08,400,124.12
0.09,400,137.4
0.09,400,151.43
0.1,400,166.2
0.1,400,181.72
0.11,400,197.98
0.11,400,214.99
0.12,400,232.75
0.12,400,251.25
0.13,400,270.5
0.13,400,290.49
0.14,400,311.24
0.14,400,332.72
0.15,400,354.96
0.15,400,377.94
0.16,400,401.66
0.16,400,426.13
0.17,400,451.35
0.17,400,477.32
0.18,400,504.03
0.18,400,531.48
0.19,400,559.69
0.19,400,588.64
0.2,400,618.33
0.2,400,648.77
0.21,400,679.96
0.21,400,711.89
0.22,400,744.57
0.22,400,778
0.23,400,812.17
0.23,400,847.09
0.24,400,882.76
0.24,400,919.17
0.25,400,956.32
0.25,400,994.23
0.26,400,1032.88
0.26,400,1072.27
0.27,400,1112.41
0.27,400,1153.3
0.28,400,1194.93
0.28,400,1237.31
0.29,400,1280.44
0.29,400,1324.31
0.3,400,1368.93
0.3,400,1414.3
0.31,400,1460.41
0.31,400,1507.26
0.32,400,1554.87
0.32,400,1603.22
0.33,400,1652.31
0.33,400,1702.15
0.34,400,1752.74
0.34,400,1804.08
0.35,400,1856.16
0.35,400,1908.98
0.36,400,1962.56
0.36,400,2016.87
0.37,400,2071.94
0.37,400,2127.75
0.38,400,2184.31
0.38,400,2241.61
0.39,400,2299.66
0.39,400,2358.46
0.4,400,2418
0.4,400,2478.29
0.41,400,2539.32
0.41,400,2601.1
0.42,400,2663.63
0.42,400,2726.9
0.43,400,2790.92
0.43,400,2855.68
0.44,400,2921.19
0.44,400,2987.45
0.45,400,3054.46
0.45,400,3122.2
0.46,400,3190.7
0.46,400,3259.94
0.47,400,3329.93
0.47,400,3400.67
0.48,400,3472.15
0.48,400,3544.37
0.49,400,3617.35
0.49,400,3691.06
0.5,400,3765.53
0.5,400,3840.74
0.51,400,3916.7
0.51,400,3993.4
0.52,400,4070.85
0.52,400,4149.05
0.53,400,4227.99
0.53,400,4307.68
0.54,400,4388.11
0.54,400,4469.29
0.55,400,4551.22
0.55,400,4633.89
0.56,400,4717.31
0.56,400,4801.48
0.57,400,4886.39
0.57,400,4972.05
0.58,400,5058.45
0.58,400,5145.6
0.59,400,5233.5
0.59,400,5322.14
0.6,400,5411.53
0.6,400,5501.66
0.61,400,5592.54
0.61,400,5684.17
0.62,400,5776.54
0.62,400,5869.66
0.63,400,5963.53
0.63,400,6058.14
0.64,400,6153.5
0.64,400,6249.6
0.65,400,6346.45
0.65,400,6444.05
0.66,400,6542.39
0.66,400,6641.48
0.67,400,6741.31
0.67,400,6841.9
0.68,400,6943.22
0.68,400,7045.3
0.69,400,7148.12
0.69,400,7251.68
0.7,400,7355.99
0.7,400,7461.05
0.71,400,7566.86
0.71,400,7673.41
0.72,400,7780.7
0.72,400,7888.74
0.73,400,7997.53
0.73,400,8107.07
0.74,400,8217.35
0.74,400,8328.38
0.75,400,8440.15
0.75,400,8552.67
0.76,400,8665.94
0.76,400,8779.95
0.77,400,8894.71
0.77,400,9010.21
0.78,400,9126.46
0.78,400,9243.46
0.79,400,9361.2
0.79,400,9479.69
0.8,400,9598.92
0.8,400,9718.91
0.81,400,9839.63
0.81,400,9961.11
0.82,400,10083.33
0.82,400,10206.29
0.83,400,10330
0.83,400,10454.46
0.84,400,10579.67
0.84,400,10705.62
0.85,400,10832.31
0.85,400,10959.76
0.86,400,11087.95
0.86,400,11216.88
0.87,400,11346.56
0.87,400,11476.99
0.88,400,11608.16
0.88,400,11740.08
0.89,400,11872.75
0.89,400,12006.16
0.9,400,12140.32
0.9,400,12275.23
0.91,400,12410.88
0.91,400,12547.27
0.92,400,12684.42
0.92,400,12822.31
0.93,400,12960.94
0.93,400,13100.32
0.94,400,13240.45
0.94,400,13381.33
0.95,400,13522.95
0.95,400,13665.31
0.96,400,13808.42
0.96,400,13952.28
0.97,400,14096.89
