lot,gridPoints,tpMoney
0.62,550,26683.25
0.62,550,26853.75
0.63,550,27027
0.63,550,27200.25
0.63,550,27373.5
0.63,550,27546.75
0.63,550,27720
0.64,550,27896
0.64,550,28072
0.64,550,28248
0.64,550,28424
0.64,550,28600
0.65,550,28778.75
0.65,550,28957.5
0.65,550,29136.25
0.65,550,29315
0.65,550,29493.75
0.66,550,29675.25
0.66,550,29856.75
0.66,550,30038.25
0.66,550,30219.75
0.66,550,30401.25
0.67,550,30585.5
0.67,550,30769.75
0.67,550,30954
0.67,550,31138.25
0.67,550,31322.5
0.68,550,31509.5
0.68,550,31696.5
0.68,550,31883.5
0.68,550,32070.5
0.68,550,32257.5
0.69,550,32447.25
0.69,550,32637
0.69,550,32826.75
0.69,550,33016.5
0.69,550,33206.25
0.7,550,33398.75
0.7,550,33591.25
0.7,550,33783.75
0.7,550,33976.25
0.7,550,34168.75
0.71,550,34364
0.71,550,34559.25
0.71,550,34754.5
0.71,550,34949.75
0.71,550,35145
0.72,550,35343
0.72,550,35541
0.72,550,35739
0.72,550,35937
0.72,550,36135
0.73,550,36335.75
0.73,550,36536.5
0.73,550,36737.25
0.73,550,36938
0.73,550,37138.75
0.74,550,37342.25
0.74,550,37545.75
0.74,550,37749.25
0.74,550,37952.75
0.74,550,38156.25
0.75,550,38362.5
0.75,550,38568.75
0.75,550,38775
0.75,550,38981.25
0.75,550,39187.5
0.76,550,39396.5
0.76,550,39605.5
0.76,550,39814.5
0.76,550,40023.5
0.76,550,40232.5
0.77,550,40444.25
0.77,550,40656
0.77,550,40867.75
0.77,550,41079.5
0.77,550,41291.25
0.78,550,41505.75
0.78,550,41720.25
0.78,550,41934.75
0.78,550,42149.25
0.78,550,42363.75
0.79,550,42581
0.79,550,42798.25
0.79,550,43015.5
0.79,550,43232.75
0.79,550,43450
0.8,550,43670
0.8,550,43890
0.8,550,44110
0.8,550,44330
0.8,550,44550
0.81,550,44772.75
0.81,550,44995.5
0.81,550,45218.25
0.81,550,45441
0.81,550,45663.75
0.82,550,45889.25
0.82,550,46114.75
0.82,550,46340.25
0.82,550,46565.75
0.82,550,46791.25
0.83,550,47019.5
0.83,550,47247.75
0.83,550,47476
0.83,550,47704.25
0.83,550,47932.5
0.84,550,48163.5
0.84,550,48394.5
0.84,550,48625.5
0.84,550,48856.5
0.84,550,49087.5
0.85,550,49321.25
0.85,550,49555
0.85,550,49788.75
0.85,550,50022.5
0.85,550,50256.25
0.86,550,50492.75
0.86,550,50729.25
0.86,550,50965.75
0.86,550,51202.25
0.86,550,51438.75
0.87,550,51678
0.87,550,51917.25
0.87,550,52156.5
0.87,550,52395.75
0.87,550,52635
0.88,550,52877
0.88,550,53119
0.88,550,53361
0.88,550,53603
0.88,550,53845
0.89,550,54089.75
0.89,550,54334.5
0.89,550,54579.25
0.89,550,54824
0.89,550,55068.75
0.9,550,55316.25
0.9,550,55563.75
0.9,550,55811.25
0.9,550,56058.75
0.9,550,56306.25
0.91,550,56556.5
0.91,550,56806.75
0.91,550,57057
0.91,550,57307.25
0.91,550,57557.5
0.92,550,57810.5
0.92,550,58063.5
0.92,550,58316.5
0.92,550,58569.5
0.92,550,58822.5
0.93,550,59078.25
0.93,550,59334
0.93,550,59589.75
0.93,550,59845.5
0.93,550,60101.25
0.94,550,60359.75
0.94,550,60618.25
0.94,550,60876.75
0.94,550,61135.25
0.94,550,61393.75
0.95,550,61655
0.95,550,61916.25
0.95,550,62177.5
0.95,550,62438.75
0.95,550,62700
0.96,550,62964
