lot,gridPoints,tpMoney
0.01,480,2.4
0.01,480,4.8
0.01,480,7.2
0.01,480,9.6
0.01,480,12
0.02,480,16.8
0.02,480,21.6
0.02,480,26.4
0.02,480,31.2
0.02,480,36
0.03,480,43.2
0.03,480,50.4
0.03,480,57.6
0.03,480,64.8
0.03,480,72
0.04,480,81.6
0.04,480,91.2
0.04,480,100.8
0.04,480,110.4
0.04,480,120
0.05,480,132
0.05,480,144
0.05,480,156
0.05,480,168
0.05,480,180
0.06,480,194.4
0.06,480,208.8
0.06,480,223.2
0.06,480,237.6
0.06,480,252
0.07,480,268.8
0.07,480,285.6
0.07,480,302.4
0.07,480,319.2
0.07,480,336
0.08,480,355.2
0.08,480,374.4
0.08,480,393.6
0.08,480,412.8
0.08,480,432
0.09,480,453.6
0.09,480,475.2
0.09,480,496.8
0.09,480,518.4
0.09,480,540
0.1,480,564
0.1,480,588
0.1,480,612
0.1,480,636
0.1,480,660
0.11,480,686.4
0.11,480,712.8
0.11,480,739.2
0.11,480,765.6
0.11,480,792
0.12,480,820.8
0.12,480,849.6
0.12,480,878.4
0.12,480,907.2
0.12,480,936
0.13,480,967.2
0.13,480,998.4
0.13,480,1029.6
0.13,480,1060.8
0.13,480,1092
0.14,480,1125.6
0.14,480,1159.2
0.14,480,1192.8
0.14,480,1226.4
0.14,480,1260
0.15,480,1296
0.15,480,1332
0.15,480,1368
0.15,480,1404
0.15,480,1440
0.16,480,1478.4
0.16,480,1516.8
0.16,480,1555.2
0.16,480,1593.6
0.16,480,1632
0.17,480,1672.8
0.17,480,1713.6
0.17,480,1754.4
0.17,480,1795.2
0.17,480,1836
0.18,480,1879.2
0.18,480,1922.4
0.18,480,1965.6
0.18,480,2008.8
0.18,480,2052
0.19,480,2097.6
0.19,480,2143.2
0.19,480,2188.8
0.19,480,2234.4
0.19,480,2280
0.2,480,2328
0.2,480,2376
0.2,480,2424
0.2,480,2472
0.2,480,2520
0.21,480,2570.4
0.21,480,2620.8
0.21,480,2671.2
0.21,480,2721.6
0.21,480,2772
0.22,480,2824.8
0.22,480,2877.6
0.22,480,2930.4
0.22,480,2983.2
0.22,480,3036
0.23,480,3091.2
0.23,480,3146.4
0.23,480,3201.6
0.23,480,3256.8
0.23,480,3312
0.24,480,3369.6
0.24,480,3427.2
0.24,480,3484.8
0.24,480,3542.4
0.24,480,3600
0.25,480,3660
0.25,480,3720
0.25,480,3780
0.25,480,3840
0.25,480,3900
0.26,480,3962.4
0.26,480,4024.8
0.26,480,4087.2
0.26,480,4149.6
0.26,480,4212
0.27,480,4276.8
0.27,480,4341.6
0.27,480,4406.4
0.27,480,4471.2
0.27,480,4536
0.28,480,4603.2
0.28,480,4670.4
0.28,480,4737.6
0.28,480,4804.8
0.28,480,4872
0.29,480,4941.6
0.29,480,5011.2
0.29,480,5080.8
0.29,480,5150.4
0.29,480,5220
0.3,480,5292
0.3,480,5364
0.3,480,5436
0.3,480,5508
0.3,480,5580
0.31,480,5654.4
0.31,480,5728.8
0.31,480,5803.2
0.31,480,5877.6
0.31,480,5952
0.32,480,6028.8
0.32,480,6105.6
0.32,480,6182.4
0.32,480,6259.2
0.32,480,6336
0.33,480,6415.2
0.33,480,6494.4
0.33,480,6573.6
0.33,480,6652.8
0.33,480,6732
0.34,480,6813.6
0.34,480,6895.2
0.34,480,6976.8
0.34,480,7058.4
0.34,480,7140
0.35,480,7224
0.35,480,7308
0.35,480,7392
0.35,480,7476
0.35,480,7560
0.36,480,7646.4
0.36,480,7732.8
0.36,480,7819.2
0.36,480,7905.6
0.36,480,7992
0.37,480,8080.8
0.37,480,8169.6
0.37,480,8258.4
0.37,480,8347.2
0.37,480,8436
0.38,480,8527.2
0.38,480,8618.4
0.38,480,8709.6
0.38,480,8800.8
0.38,480,8892
0.39,480,8985.6
0.39,480,9079.2
0.39,480,9172.8
0.39,480,9266.4
0.39,480,9360
0.4,480,9456
0.4,480,9552
0.4,480,9648
0.4,480,9744
0.4,480,9840
0.41,480,9938.4
0.41,480,10036.8
0.41,480,10135.2
0.41,480,10233.6
0.41,480,10332
0.42,480,10432.8
0.42,480,10533.6
0.42,480,10634.4
0.42,480,10735.2
0.42,480,10836
0.43,480,10939.2
0.43,480,11042.4
0.43,480,11145.6
0.43,480,11248.8
0.43,480,11352
0.44,480,11457.6
0.44,480,11563.2
0.44,480,11668.8
0.44,480,11774.4
0.44,480,11880
0.45,480,11988
0.45,480,12096
0.45,480,12204
0.45,480,12312
0.45,480,12420
0.46,480,12530.4
0.46,480,12640.8
0.46,480,12751.2
0.46,480,12861.6
0.46,480,12972
0.47,480,13084.8
0.47,480,13197.6
0.47,480,13310.4
0.47,480,13423.2
0.47,480,13536
0.48,480,13651.2
0.48,480,13766.4
0.48,480,13881.6
0.48,480,13996.8
0.48,480,14112
0.49,480,14229.6
0.49,480,14347.2
0.49,480,14464.8
0.49,480,14582.4
0.49,480,14700
0.5,480,14820
0.5,480,14940
0.5,480,15060
0.5,480,15180
0.5,480,15300
0.51,480,15422.4
0.51,480,15544.8
0.51,480,15667.2
0.51,480,15789.6
0.51,480,15912
0.52,480,16036.8
0.52,480,16161.6
0.52,480,16286.4
0.52,480,16411.2
0.52,480,16536
0.53,480,16663.2
0.53,480,16790.4
0.53,480,16917.6
0.53,480,17044.8
0.53,480,17172
0.54,480,17301.6
0.54,480,17431.2
0.54,480,17560.8
0.54,480,17690.4
0.54,480,17820
0.55,480,17952
0.55,480,18084
0.55,480,18216
0.55,480,18348
0.55,480,18480
0.56,480,18614.4
0.56,480,18748.8
0.56,480,18883.2
0.56,480,19017.6
0.56,480,19152
0.57,480,19288.8
0.57,480,19425.6
0.57,480,19562.4
0.57,480,19699.2
0.57,480,19836
0.58,480,19975.2
0.58,480,20114.4
0.58,480,20253.6
0.58,480,20392.8
0.58,480,20532
0.59,480,20673.6
0.59,480,20815.2
0.59,480,20956.8
0.59,480,21098.4
0.59,480,21240
0.6,480,21384
0.6,480,21528
0.6,480,21672
0.6,480,21816
0.6,480,21960
0.61,480,22106.4
0.61,480,22252.8
0.61,480,22399.2
0.61,480,22545.6
0.61,480,22692
0.62,480,22840.8
0.62,480,22989.6
0.62,480,23138.4
0.62,480,23287.2
0.62,480,23436
0.63,480,23587.2
0.63,480,23738.4
0.63,480,23889.6
0.63,480,24040.8
0.63,480,24192
0.64,480,24345.6
0.64,480,24499.2
0.64,480,24652.8
0.64,480,24806.4
0.64,480,24960
0.65,480,25116
0.65,480,25272
0.65,480,25428
0.65,480,25584
0.65,480,25740
0.66,480,25898.4
0.66,480,26056.8
0.66,480,26215.2
0.66,480,26373.6
0.66,480,26532
0.67,480,26692.8
0.67,480,26853.6
0.67,480,27014.4
0.67,480,27175.2
0.67,480,27336
0.68,480,27499.2
0.68,480,27662.4
0.68,480,27825.6
0.68,480,27988.8
0.68,480,28152
0.69,480,28317.6
0.69,480,28483.2
0.69,480,28648.8
0.69,480,28814.4
0.69,480,28980
0.7,480,29148
0.7,480,29316
0.7,480,29484
0.7,480,29652
0.7,480,29820
0.71,480,29990.4
0.71,480,30160.8
0.71,480,30331.2
0.71,480,30501.6
0.71,480,30672
0.72,480,30844.8
0.72,480,31017.6
