lot,gridPoints,tpMoney
0.01,490,2.45
0.01,490,4.9
0.01,490,7.35
0.01,490,9.8
0.01,490,12.25
0.02,490,17.15
0.02,490,22.05
0.02,490,26.95
0.02,490,31.85
0.02,490,36.75
0.03,490,44.1
0.03,490,51.45
0.03,490,58.8
0.03,490,66.15
0.03,490,73.5
0.04,490,83.3
0.04,490,93.1
0.04,490,102.9
0.04,490,112.7
0.04,490,122.5
0.05,490,134.75
0.05,490,147
0.05,490,159.25
0.05,490,171.5
0.05,490,183.75
0.06,490,198.45
0.06,490,213.15
0.06,490,227.85
0.06,490,242.55
0.06,490,257.25
0.07,490,274.4
0.07,490,291.55
0.07,490,308.7
0.07,490,325.85
0.07,490,343
0.08,490,362.6
0.08,490,382.2
0.08,490,401.8
0.08,490,421.4
0.08,490,441
0.09,490,463.05
0.09,490,485.1
0.09,490,507.15
0.09,490,529.2
0.09,490,551.25
0.1,490,575.75
0.1,490,600.25
0.1,490,624.75
0.1,490,649.25
0.1,490,673.75
0.11,490,700.7
0.11,490,727.65
0.11,490,754.6
0.11,490,781.55
0.11,490,808.5
0.12,490,837.9
0.12,490,867.3
0.12,490,896.7
0.12,490,926.1
0.12,490,955.5
0.13,490,987.35
0.13,490,1019.2
0.13,490,1051.05
0.13,490,1082.9
0.13,490,1114.75
0.14,490,1149.05
0.14,490,1183.35
0.14,490,1217.65
0.14,490,1251.95
0.14,490,1286.25
0.15,490,1323
0.15,490,1359.75
0.15,490,1396.5
0.15,490,1433.25
0.15,490,1470
0.16,490,1509.2
0.16,490,1548.4
0.16,490,1587.6
0.16,490,1626.8
0.16,490,1666
0.17,490,1707.65
0.17,490,1749.3
0.17,490,1790.95
0.17,490,1832.6
0.17,490,1874.25
0.18,490,1918.35
0.18,490,1962.45
0.18,490,2006.55
0.18,490,2050.65
0.18,490,2094.75
0.19,490,2141.3
0.19,490,2187.85
0.19,490,2234.4
0.19,490,2280.95
0.19,490,2327.5
0.2,490,2376.5
0.2,490,2425.5
0.2,490,2474.5
0.2,490,2523.5
0.2,490,2572.5
0.21,490,2623.95
0.21,490,2675.4
0.21,490,2726.85
0.21,490,2778.3
0.21,490,2829.75
0.22,490,2883.65
0.22,490,2937.55
0.22,490,2991.45
0.22,490,3045.35
0.22,490,3099.25
