lot,gridPips,tpMoney
0.01,340,3
0.01,340,3
0.01,340,4.5
0.02,340,7.5
0.02,340,10.5
0.02,340,13.5
0.03,340,18
0.03,340,22.5
0.03,340,27
0.04,340,33
0.04,340,39
0.04,340,45
0.05,340,52.5
0.05,340,60
0.05,340,67.5
0.06,340,76.5
0.06,340,85.5
0.06,340,94.5
0.07,340,105
0.07,340,115.5
0.07,340,126
0.08,340,138
0.08,340,150
0.08,340,162
0.09,340,175.5
0.09,340,189
0.09,340,202.5
0.1,340,217.5
0.1,340,232.5
0.1,340,247.5
0.11,340,264
0.11,340,280.5
0.11,340,297
0.12,340,315
0.12,340,333
0.12,340,351
0.13,340,370.5
0.13,340,390
0.13,340,409.5
0.14,340,430.5
0.14,340,451.5
0.14,340,472.5
0.15,340,495
0.15,340,517.5
0.15,340,540
0.16,340,564
0.16,340,588
0.16,340,612
0.17,340,637.5
0.17,340,663
0.17,340,688.5
0.18,340,715.5
0.18,340,742.5
0.18,340,769.5
0.19,340,798
0.19,340,826.5
0.19,340,855
0.2,340,885
0.2,340,915
0.2,340,945
0.21,340,976.5
0.21,340,1008
0.21,340,1039.5
0.22,340,1072.5
0.22,340,1105.5
0.22,340,1138.5
0.23,340,1173
0.23,340,1207.5
0.23,340,1242
0.24,340,1278
0.24,340,1314
0.24,340,1350
0.25,340,1387.5
0.25,340,1425
0.25,340,1462.5
0.26,340,1501.5
0.26,340,1540.5
0.26,340,1579.5
0.27,340,1620
0.27,340,1660.5
0.27,340,1701
0.28,340,1743
0.28,340,1785
0.28,340,1827
0.29,340,1870.5
0.29,340,1914
0.29,340,1957.5
0.3,340,2002.5
0.3,340,2047.5
0.3,340,2092.5
0.31,340,2139
0.31,340,2185.5
0.31,340,2232
0.32,340,2280
0.32,340,2328
0.32,340,2376
0.33,340,2425.5
0.33,340,2475
0.33,340,2524.5
0.34,340,2575.5
0.34,340,2626.5
0.34,340,2677.5
0.35,340,2730
0.35,340,2782.33
0.35,340,2835.33
0.36,340,2888.83
0.36,340,2942.83
0.36,340,2997.33
0.37,340,3052.33
0.37,340,3107.83
0.37,340,3163.82
0.38,340,3220.32
0.38,340,3277.32
0.38,340,3334.82
0.39,340,3392.82
0.39,340,3451.32
0.39,340,3510.32
0.4,340,3569.82
0.4,340,3629.82
0.4,340,3690.32
0.41,340,3751.32
0.41,340,3812.82
0.41,340,3874.82
0.42,340,3937.32
0.42,340,4000.32
0.42,340,4063.82
0.43,340,4127.82
0.43,340,4192.32
0.43,340,4257.31
0.44,340,4322.81
0.44,340,4388.81
0.44,340,4455.31
0.45,340,4522.31
0.45,340,4589.81
0.45,340,4657.81
0.46,340,4726.31
0.46,340,4795.31
0.46,340,4864.81
0.47,340,4934.81
0.47,340,5005.31
0.47,340,5076.31
0.48,340,5147.8
0.48,340,5219.8
0.48,340,5292.3
0.49,340,5365.3
0.49,340,5438.8
0.49,340,5512.8
0.5,340,5587.3
0.5,340,5662.3
0.5,340,5737.8
0.51,340,5813.8
0.51,340,5890.3
0.51,340,5967.3
0.52,340,6044.79
0.52,340,6122.79
0.52,340,6201.29
0.53,340,6280.29
0.53,340,6359.79
0.53,340,6439.79
0.54,340,6520.29
0.54,340,6601.29
0.54,340,6682.79
0.55,340,6764.79
0.55,340,6847.28
0.55,340,6930.28
0.56,340,7013.78
0.56,340,7097.78
0.56,340,7182.28
0.57,340,7267.28
0.57,340,7352.78
0.57,340,7438.78
0.58,340,7525.28
0.58,340,7612.27
0.58,340,7699.77
0.59,340,7787.77
0.59,340,7876.27
0.59,340,7965.27
0.6,340,8054.77
0.6,340,8144.77
0.6,340,8235.27
0.61,340,8326.26
0.61,340,8417.76
0.61,340,8509.76
0.62,340,8602.26
0.62,340,8695.26
0.62,340,8788.76
0.63,340,8882.76
0.63,340,8977.26
0.63,340,9072.25
0.64,340,9167.75
0.64,340,9263.75
0.64,340,9360.25
0.65,340,9457.25
0.65,340,9554.75
0.65,340,9652.75
0.66,340,9751.25
0.66,340,9850.24
0.66,340,9949.74
0.67,340,10049.74
0.67,340,10150.24
