Lot,GridPoints,TpMoney
1.44,470,49096.2
1.45,470,49436.95
1.45,470,49777.7
1.46,470,50120.8
1.46,470,50463.9
1.47,470,50809.35
1.47,470,51154.8
1.48,470,51502.6
1.48,470,51850.4
1.49,470,52200.55
1.49,470,52550.7
1.5,470,52903.2
1.5,470,53255.7
1.51,470,53610.55
1.51,470,53965.4
1.52,470,54322.6
1.52,470,54679.8
1.53,470,55039.35
1.53,470,55398.9
1.54,470,55760.8
1.54,470,56122.7
1.55,470,56486.95
1.55,470,56851.2
1.56,470,57217.8
1.56,470,57584.4
1.57,470,57953.35
1.57,470,58322.3
1.58,470,58693.6
1.58,470,59064.9
1.59,470,59438.55
1.59,470,59812.2
1.6,470,60188.2
1.6,470,60564.2
1.61,470,60942.55
1.61,470,61320.9
1.62,470,61701.6
1.62,470,62082.3
1.63,470,62465.35
1.63,470,62848.4
1.64,470,63233.8
1.64,470,63619.2
1.65,470,64006.95
1.65,470,64394.7
1.66,470,64784.8
1.66,470,65174.9
1.67,470,65567.35
1.67,470,65959.8
1.68,470,66354.6
1.68,470,66749.4
1.69,470,67146.55
1.69,470,67543.7
1.7,470,67943.2
1.7,470,68342.7
1.71,470,68744.55
1.71,470,69146.4
1.72,470,69550.6
1.72,470,69954.8
1.73,470,70361.35
1.73,470,70767.9
1.74,470,71176.8
1.74,470,71585.7
1.75,470,71996.95
1.75,470,72408.2
1.76,470,72821.8
1.76,470,73235.4
1.77,470,73651.35
1.77,470,74067.3
1.78,470,74485.6
1.78,470,74903.9
1.79,470,75324.55
1.79,470,75745.2
1.8,470,76168.2
1.8,470,76591.2
1.81,470,77016.55
1.81,470,77441.9
1.82,470,77869.6
1.82,470,78297.3
1.83,470,78727.35
1.83,470,79157.4
1.84,470,79589.8
1.84,470,80022.2
1.85,470,80456.95
1.85,470,80891.7
1.86,470,81328.8
1.86,470,81765.9
1.87,470,82205.35
1.87,470,82644.8
1.88,470,83086.6
1.88,470,83528.4
1.89,470,83972.55
1.89,470,84416.7
1.9,470,84863.2
1.9,470,85309.7
1.91,470,85758.55
1.91,470,86207.4
1.92,470,86658.6
1.92,470,87109.8
1.93,470,87563.35
1.93,470,88016.9
1.94,470,88472.8
1.94,470,88928.7
1.95,470,89386.95
1.95,470,89845.2
1.96,470,90305.8
1.96,470,90766.4
1.97,470,91229.35
1.97,470,91692.3
1.98,470,92157.6
1.98,470,92622.9
1.99,470,93090.55
1.99,470,93558.2
2,470,94028.2
2,470,94498.2
2.01,470,94970.55
2.01,470,95442.9
2.02,470,95917.6
2.02,470,96392.3
2.03,470,96869.35
2.03,470,97346.4
2.04,470,97825.8
2.04,470,98305.2
2.05,470,98786.95
2.05,470,99268.7
2.06,470,99752.8
2.06,470,100236.9
2.07,470,100723.35
2.07,470,101209.8
2.08,470,101698.6
2.08,470,102187.4
2.09,470,102678.55
2.09,470,103169.7
2.1,470,103663.2
2.1,470,104156.7
2.11,470,104652.55
2.11,470,105148.4
2.12,470,105646.6
2.12,470,106144.8
2.13,470,106645.35
2.13,470,107145.9
2.14,470,107648.8
2.14,470,108151.7
2.15,470,108656.95
2.15,470,109162.2
2.16,470,109669.8
2.16,470,110177.4
2.17,470,110687.35
2.17,470,111197.3
2.18,470,111709.6
2.18,470,112221.9
2.19,470,112736.55
2.19,470,113251.2
2.2,470,113768.2
2.2,470,114285.2
2.21,470,114804.55
2.21,470,115323.9
2.22,470,115845.6
2.22,470,116367.3
2.23,470,116891.35
2.23,470,117415.4
2.24,470,117941.8
2.24,470,118468.2
2.25,470,118996.95
2.25,470,119525.7
2.26,470,120056.8
2.26,470,120587.9
2.27,470,121121.35
2.27,470,121654.8
2.28,470,122190.6
2.28,470,122726.4
2.29,470,123264.55
2.29,470,123802.7
2.3,470,124343.2
2.3,470,124883.7
2.31,470,125426.55
2.31,470,125969.4
2.32,470,126514.6
2.32,470,127059.8
2.33,470,127607.35
2.33,470,128154.9
2.34,470,128704.8
2.34,470,129254.7
2.35,470,129806.95
2.35,470,130359.2
2.36,470,130913.8
2.36,470,131468.4
2.37,470,132025.35
2.37,470,132582.3
2.38,470,133141.6
2.38,470,133700.9
2.39,470,134262.55
2.39,470,134824.2
2.4,470,135388.2
2.4,470,135952.2
2.41,470,136518.55
2.41,470,137084.9
2.42,470,137653.6
2.42,470,138222.3
2.43,470,138793.35
2.43,470,139364.4
2.44,470,139937.8
2.44,470,140511.2
2.45,470,141086.95
2.45,470,141662.7
2.46,470,142240.8
2.46,470,142818.9
2.47,470,143399.35
2.47,470,143979.8
2.48,470,144562.6
