lot,gridPips,tpMoney
0.01,240,3
0.01,240,3
0.01,240,4.5
0.01,240,6
0.01,240,7.5
0.02,240,10.5
0.02,240,13.5
0.02,240,16.5
0.02,240,19.5
0.02,240,22.5
0.03,240,27
0.03,240,31.5
0.03,240,36
0.04,240,42
0.04,240,48
0.05,240,55.5
0.05,240,63
0.06,240,72
0.06,240,81
0.07,240,91.5
0.07,240,102
0.08,240,114
0.08,240,126
0.09,240,139.5
0.09,240,153
0.1,240,168
0.1,240,183
0.11,240,199.5
0.11,240,216
0.12,240,234
0.12,240,252
0.13,240,271.5
0.13,240,291
0.14,240,312
0.14,240,333
0.15,240,355.5
0.15,240,378
0.16,240,402
0.16,240,426
0.17,240,451.5
0.17,240,477
0.18,240,504
0.18,240,531
0.19,240,559.5
0.19,240,588
0.2,240,618
0.2,240,648
0.21,240,679.5
0.21,240,711
0.22,240,744
0.22,240,777
0.23,240,811.5
0.23,240,846
0.24,240,882
0.24,240,918
0.25,240,955.5
0.25,240,993
0.26,240,1032
0.26,240,1071
0.27,240,1111.5
0.27,240,1152
0.28,240,1194
0.28,240,1236
0.29,240,1279.5
0.29,240,1323
0.3,240,1368
0.3,240,1413
0.31,240,1459.5
0.31,240,1506
0.32,240,1554
0.32,240,1602
0.33,240,1651.5
0.33,240,1701
0.34,240,1752
0.34,240,1803
0.35,240,1855.5
0.35,240,1908
0.36,240,1962
0.36,240,2016
0.37,240,2071.5
0.37,240,2127
0.38,240,2184
0.38,240,2241
0.39,240,2299.5
0.39,240,2358
0.4,240,2418
0.4,240,2478
0.41,240,2539.5
0.41,240,2601
0.42,240,2664
0.42,240,2727
0.43,240,2791.5
0.43,240,2856
0.44,240,2922
0.44,240,2988
0.45,240,3055.5
0.45,240,3123
0.46,240,3192
0.46,240,3261
0.47,240,3331.5
0.47,240,3402
0.48,240,3474
0.48,240,3546
0.49,240,3618.81
0.49,240,3692.64
0.5,240,3767.22
0.5,240,3842.56
0.51,240,3918.64
0.51,240,3995.47
0.52,240,4073.05
0.52,240,4151.37
0.53,240,4230.45
0.53,240,4310.28
0.54,240,4390.85
0.54,240,4472.18
0.55,240,4554.25
0.55,240,4637.07
0.56,240,4720.64
0.56,240,4804.96
0.57,240,4890.03
0.57,240,4975.85
0.58,240,5062.41
0.58,240,5149.73
0.59,240,5237.79
0.59,240,5326.61
0.6,240,5416.17
0.6,240,5506.48
0.61,240,5597.54
0.61,240,5689.35
0.62,240,5781.91
0.62,240,5875.21
0.63,240,5969.27
0.63,240,6064.07
0.64,240,6159.63
0.64,240,6255.93
0.65,240,6352.98
0.65,240,6450.78
0.66,240,6549.33
0.66,240,6648.63
0.67,240,6748.68
0.67,240,6849.48
0.68,240,6951.02
0.68,240,7053.32
0.69,240,7156.36
0.69,240,7260.16
0.7,240,7364.7
0.7,240,7469.99
0.71,240,7576.03
0.71,240,7682.82
0.72,240,7790.35
0.72,240,7898.64
0.73,240,8007.67
0.73,240,8117.46
0.74,240,8227.99
0.74,240,8339.28
0.75,240,8451.31
0.75,240,8564.09
0.76,240,8677.62
0.76,240,8791.89
0.77,240,8906.92
0.77,240,9022.7
0.78,240,9139.22
0.78,240,9256.5
0.79,240,9374.52
0.79,240,9493.29
0.8,240,9612.81
0.8,240,9733.08
0.81,240,9854.1
0.81,240,9975.87
0.82,240,10098.39
0.82,240,10221.65
0.83,240,10345.67
0.83,240,10470.43
0.84,240,10595.94
0.84,240,10722.2
0.85,240,10849.22
0.85,240,10976.97
0.86,240,11105.48
0.86,240,11234.74
0.87,240,11364.75
0.87,240,11495.5
0.88,240,11627.01
0.88,240,11759.26
0.89,240,11892.26
0.89,240,12026.01
0.9,240,12160.51
0.9,240,12295.76
0.91,240,12431.76
0.91,240,12568.51
0.92,240,12706.01
0.92,240,12844.25
0.93,240,12983.24
0.93,240,13122.99
0.94,240,13263.48
0.94,240,13404.72
0.95,240,13546.71
0.95,240,13689.45
0.96,240,13832.94
0.96,240,13977.17
0.97,240,14122.16
