Lot,GridPoints,TpMoney
0.01,130,0.65
0.01,130,1.3
0.01,130,1.95
0.01,130,2.6
0.01,130,3.25
0.02,130,4.55
0.02,130,5.85
0.02,130,7.15
0.02,130,8.45
0.02,130,9.75
0.03,130,11.7
0.03,130,13.65
0.03,130,15.6
0.04,130,18.2
0.04,130,20.8
0.05,130,24.05
0.05,130,27.3
0.06,130,31.2
0.06,130,35.1
0.07,130,39.65
0.07,130,44.2
0.08,130,49.4
0.08,130,54.6
0.09,130,60.45
0.09,130,66.3
0.1,130,72.8
0.1,130,79.3
0.11,130,86.45
0.11,130,93.6
0.12,130,101.4
0.12,130,109.2
0.13,130,117.65
0.13,130,126.1
0.14,130,135.2
0.14,130,144.3
0.15,130,154.05
0.15,130,163.8
0.16,130,174.2
0.16,130,184.6
0.17,130,195.65
0.17,130,206.7
0.18,130,218.4
0.18,130,230.1
0.19,130,242.45
0.19,130,254.8
0.2,130,267.8
0.2,130,280.8
0.21,130,294.45
0.21,130,308.1
0.22,130,322.4
0.22,130,336.7
0.23,130,351.65
0.23,130,366.6
0.24,130,382.2
0.24,130,397.8
0.25,130,414.05
0.25,130,430.3
0.26,130,447.2
0.26,130,464.1
0.27,130,481.65
0.27,130,499.2
0.28,130,517.4
0.28,130,535.6
0.29,130,554.45
0.29,130,573.3
0.3,130,592.8
0.3,130,612.3
0.31,130,632.45
0.31,130,652.6
0.32,130,673.4
0.32,130,694.2
0.33,130,715.65
0.33,130,737.1
0.34,130,759.2
0.34,130,781.3
0.35,130,804.05
0.35,130,826.8
0.36,130,850.2
0.36,130,873.6
0.37,130,897.65
0.37,130,921.7
0.38,130,946.4
0.38,130,971.1
0.39,130,996.45
0.39,130,1021.8
0.4,130,1047.8
0.4,130,1073.8
0.41,130,1100.45
0.41,130,1127.1
0.42,130,1154.4
0.42,130,1181.7
0.43,130,1209.65
0.43,130,1237.6
0.44,130,1266.2
0.44,130,1294.8
0.45,130,1324.05
0.45,130,1353.3
0.46,130,1383.2
0.46,130,1413.1
0.47,130,1443.65
0.47,130,1474.2
0.48,130,1505.4
0.48,130,1536.6
0.49,130,1568.45
0.49,130,1600.3
0.5,130,1632.8
0.5,130,1665.3
0.51,130,1698.45
0.51,130,1731.6
0.52,130,1765.4
0.52,130,1799.2
0.53,130,1833.65
0.53,130,1868.1
0.54,130,1903.2
0.54,130,1938.3
0.55,130,1974.05
0.55,130,2009.8
0.56,130,2046.2
0.56,130,2082.6
0.57,130,2119.65
0.57,130,2156.7
0.58,130,2194.4
0.58,130,2232.1
0.59,130,2270.45
0.59,130,2308.8
0.6,130,2347.8
0.6,130,2386.8
0.61,130,2426.45
0.61,130,2466.1
0.62,130,2506.4
0.62,130,2546.7
0.63,130,2587.65
0.63,130,2628.6
0.64,130,2670.2
0.64,130,2711.8
0.65,130,2754.05
0.65,130,2796.3
0.66,130,2839.2
0.66,130,2882.1
0.67,130,2925.65
0.67,130,2969.2
0.68,130,3013.4
0.68,130,3057.6
0.69,130,3102.45
0.69,130,3147.3
0.7,130,3192.8
0.7,130,3238.3
0.71,130,3284.45
0.71,130,3330.6
0.72,130,3377.4
0.72,130,3424.2
0.73,130,3471.65
0.73,130,3519.1
0.74,130,3567.2
0.74,130,3615.3
0.75,130,3664.05
0.75,130,3712.8
0.76,130,3762.2
0.76,130,3811.6
0.77,130,3861.65
0.77,130,3911.7
0.78,130,3962.4
0.78,130,4013.1
0.79,130,4064.45
0.79,130,4115.8
0.8,130,4167.8
0.8,130,4219.8
0.81,130,4272.45
0.81,130,4325.1
0.82,130,4378.4
0.82,130,4431.7
0.83,130,4485.65
0.83,130,4539.6
0.84,130,4594.2
0.84,130,4648.8
0.85,130,4704.05
0.85,130,4759.3
0.86,130,4815.2
0.86,130,4871.1
0.87,130,4927.65
0.87,130,4984.2
0.88,130,5041.4
0.88,130,5098.6
0.89,130,5156.45
0.89,130,5214.3
0.9,130,5272.8
0.9,130,5331.3
0.91,130,5390.45
0.91,130,5449.6
0.92,130,5509.4
0.92,130,5569.2
0.93,130,5629.65
0.93,130,5690.1
0.94,130,5751.2
0.94,130,5812.3
0.95,130,5874.05
0.95,130,5935.8
0.96,130,5998.2
0.96,130,6060.6
0.97,130,6123.65
0.97,130,6186.7
0.98,130,6250.4
0.98,130,6314.1
0.99,130,6378.45
0.99,130,6442.8
1,130,6507.8
