lot,gridPips,tpMoney
0.01,500,2.5
0.01,500,5
0.01,500,7.5
0.01,500,10
0.01,500,12.5
0.02,500,17.5
0.02,500,22.5
0.02,500,27.5
0.02,500,32.5
0.02,500,37.5
0.03,500,45
0.03,500,52.5
0.03,500,60
0.04,500,70
0.04,500,80
0.05,500,92.5
0.05,500,105
0.06,500,120
0.06,500,135
0.07,500,152.5
0.07,500,170
0.08,500,190
0.08,500,210
0.09,500,232.5
0.09,500,255
0.1,500,280
0.1,500,305
0.11,500,332.5
0.11,500,360
0.12,500,390
0.12,500,420
0.13,500,452.5
0.13,500,485
0.14,500,520
0.14,500,555
0.15,500,592.5
0.15,500,630
0.16,500,670
0.16,500,710
0.17,500,752.5
0.17,500,795
0.18,500,840
0.18,500,885
0.19,500,932.5
0.19,500,980
0.2,500,1030
0.2,500,1080
0.21,500,1132.5
0.21,500,1185
0.22,500,1240
0.22,500,1295
0.23,500,1352.5
0.23,500,1410
0.24,500,1470
0.24,500,1530
0.25,500,1592.5
0.25,500,1655
0.26,500,1720
0.26,500,1785
0.27,500,1852.5
0.27,500,1920
0.28,500,1990
0.28,500,2060
0.29,500,2132.5
0.29,500,2205
0.3,500,2280
0.3,500,2355
0.31,500,2432.5
0.31,500,2510
0.32,500,2590
0.32,500,2670
0.33,500,2752.5
0.33,500,2835
0.34,500,2920
0.34,500,3005
0.35,500,3092.5
0.35,500,3180
0.36,500,3270
0.36,500,3360
0.37,500,3452.5
0.37,500,3545
0.38,500,3640
0.38,500,3735
0.39,500,3832.5
0.39,500,3930
0.4,500,4030
0.4,500,4130
0.41,500,4232.5
0.41,500,4335
0.42,500,4440
0.42,500,4545
0.43,500,4652.5
0.43,500,4760
0.44,500,4870
0.44,500,4980
0.45,500,5092.5
0.45,500,5205
0.46,500,5320
0.46,500,5435
0.47,500,5552.5
0.47,500,5670
0.48,500,5790
0.48,500,5910
0.49,500,6032.5
0.49,500,6155
0.5,500,6280
0.5,500,6405
0.51,500,6532.5
0.51,500,6660
0.52,500,6790
0.52,500,6920
0.53,500,7052.5
0.53,500,7185
0.54,500,7320
0.54,500,7455
0.55,500,7592.5
0.55,500,7730
0.56,500,7870
0.56,500,8010
0.57,500,8152.5
0.57,500,8295
0.58,500,8440
0.58,500,8585
0.59,500,8732.5
0.59,500,8880
0.6,500,9030
0.6,500,9180
0.61,500,9332.5
0.61,500,9485
