lot,gridPips,tpMoney
0.01,250,3
0.01,250,3
0.01,250,4.5
0.01,250,6
0.01,250,7.5
0.02,250,10.5
0.02,250,13.5
0.02,250,16.5
0.02,250,19.5
0.02,250,22.5
0.03,250,27
0.03,250,31.5
0.03,250,36
0.04,250,42
0.04,250,48
0.05,250,55.5
0.05,250,63
0.06,250,72
0.06,250,81
0.07,250,91.5
0.07,250,102
0.08,250,114
0.08,250,126
0.09,250,139.5
0.09,250,153
0.1,250,168
0.1,250,183
0.11,250,199.5
0.11,250,216
0.12,250,234
0.12,250,252
0.13,250,271.5
0.13,250,291
0.14,250,312
0.14,250,333
0.15,250,355.5
0.15,250,378
0.16,250,402
0.16,250,426
0.17,250,451.5
0.17,250,477
0.18,250,504
0.18,250,531
0.19,250,559.5
0.19,250,588
0.2,250,618
0.2,250,648
0.21,250,679.5
0.21,250,711
0.22,250,744
0.22,250,777
0.23,250,811.5
0.23,250,846
0.24,250,882
0.24,250,918
0.25,250,955.5
0.25,250,993
0.26,250,1032
0.26,250,1071
0.27,250,1111.5
0.27,250,1152
0.28,250,1194
0.28,250,1236
0.29,250,1279.5
0.29,250,1323
0.3,250,1368
0.3,250,1413
0.31,250,1459.5
0.31,250,1506
0.32,250,1554
0.32,250,1602
0.33,250,1651.5
0.33,250,1701
0.34,250,1752
0.34,250,1803
0.35,250,1855.5
0.35,250,1908
0.36,250,1962
0.36,250,2016
0.37,250,2071.5
0.37,250,2127
0.38,250,2184
0.38,250,2241
0.39,250,2299.5
0.39,250,2358
0.4,250,2418
0.4,250,2478
0.41,250,2539.5
0.41,250,2601
0.42,250,2664
0.42,250,2727
0.43,250,2791.5
0.43,250,2856
0.44,250,2922
0.44,250,2988
0.45,250,3055.5
0.45,250,3123
0.46,250,3192
0.46,250,3261
0.47,250,3331.5
0.47,250,3402
0.48,250,3474
0.48,250,3546
0.49,250,3618.81
0.49,250,3692.64
0.5,250,3767.22
0.5,250,3842.56
0.51,250,3918.64
0.51,250,3995.47
0.52,250,4073.05
0.52,250,4151.37
0.53,250,4230.45
0.53,250,4310.28
0.54,250,4390.85
0.54,250,4472.18
0.55,250,4554.25
0.55,250,4637.07
0.56,250,4720.64
0.56,250,4804.96
0.57,250,4890.03
0.57,250,4975.85
0.58,250,5062.41
0.58,250,5149.73
0.59,250,5237.79
0.59,250,5326.61
0.6,250,5416.17
0.6,250,5506.48
0.61,250,5597.54
0.61,250,5689.35
0.62,250,5781.91
0.62,250,5875.21
0.63,250,5969.27
0.63,250,6064.07
0.64,250,6159.63
0.64,250,6255.93
0.65,250,6352.98
0.65,250,6450.78
0.66,250,6549.33
0.66,250,6648.63
0.67,250,6748.68
0.67,250,6849.48
0.68,250,6951.02
0.68,250,7053.32
0.69,250,7156.36
0.69,250,7260.16
0.7,250,7364.7
0.7,250,7469.99
0.71,250,7576.03
0.71,250,7682.82
0.72,250,7790.35
0.72,250,7898.64
0.73,250,8007.67
0.73,250,8117.46
0.74,250,8227.99
0.74,250,8339.28
0.75,250,8451.31
0.75,250,8564.09
0.76,250,8677.62
0.76,250,8791.89
0.77,250,8906.92
0.77,250,9022.7
0.78,250,9139.22
0.78,250,9256.5
0.79,250,9374.52
0.79,250,9493.29
0.8,250,9612.81
0.8,250,9733.08
0.81,250,9854.1
0.81,250,9975.87
0.82,250,10098.39
0.82,250,10221.65
0.83,250,10345.67
0.83,250,10470.43
0.84,250,10595.94
0.84,250,10722.2
0.85,250,10849.22
0.85,250,10976.97
0.86,250,11105.48
0.86,250,11234.74
0.87,250,11364.75
0.87,250,11495.5
0.88,250,11627.01
0.88,250,11759.26
0.89,250,11892.26
0.89,250,12026.01
0.9,250,12160.51
0.9,250,12295.76
0.91,250,12431.76
0.91,250,12568.51
0.92,250,12706.01
0.92,250,12844.25
0.93,250,12983.24
0.93,250,13122.99
0.94,250,13263.48
0.94,250,13404.72
0.95,250,13546.71
0.95,250,13689.45
0.96,250,13832.94
0.96,250,13977.17
0.97,250,14122.16
