Lot,GridPoints,TpMoney
0.01,330,1.65
0.01,330,3.3
0.01,330,4.95
0.01,330,6.6
0.01,330,8.25
0.02,330,11.55
0.02,330,14.85
0.02,330,18.15
0.02,330,21.45
0.02,330,24.75
0.03,330,29.7
0.03,330,34.65
0.03,330,39.6
0.04,330,46.2
0.04,330,52.8
0.05,330,61.05
0.05,330,69.3
0.06,330,79.2
0.06,330,89.1
0.07,330,100.65
0.07,330,112.2
0.08,330,125.4
0.08,330,138.6
0.09,330,153.45
0.09,330,168.3
0.1,330,184.8
0.1,330,201.3
0.11,330,219.45
0.11,330,237.6
0.12,330,257.4
0.12,330,277.2
0.13,330,298.65
0.13,330,320.1
0.14,330,343.2
0.14,330,366.3
0.15,330,391.05
0.15,330,415.8
0.16,330,442.2
0.16,330,468.6
0.17,330,496.65
0.17,330,524.7
0.18,330,554.4
0.18,330,584.1
0.19,330,615.45
0.19,330,646.8
0.2,330,679.8
0.2,330,712.8
0.21,330,747.45
0.21,330,782.1
0.22,330,818.4
0.22,330,854.7
0.23,330,892.65
0.23,330,930.6
0.24,330,970.2
0.24,330,1009.8
0.25,330,1051.05
0.25,330,1092.3
0.26,330,1135.2
0.26,330,1178.1
0.27,330,1222.65
0.27,330,1267.2
0.28,330,1313.4
0.28,330,1359.6
0.29,330,1407.45
0.29,330,1455.3
0.3,330,1504.8
0.3,330,1554.3
0.31,330,1605.45
0.31,330,1656.6
0.32,330,1709.4
0.32,330,1762.2
0.33,330,1816.65
0.33,330,1871.1
0.34,330,1927.2
0.34,330,1983.3
0.35,330,2041.05
0.35,330,2098.8
0.36,330,2158.2
0.36,330,2217.6
0.37,330,2278.65
0.37,330,2339.7
0.38,330,2402.4
0.38,330,2465.1
0.39,330,2529.45
0.39,330,2593.8
0.4,330,2659.8
0.4,330,2725.8
0.41,330,2793.45
0.41,330,2861.1
0.42,330,2930.4
0.42,330,2999.7
0.43,330,3070.65
0.43,330,3141.6
0.44,330,3214.2
0.44,330,3286.8
0.45,330,3361.05
0.45,330,3435.3
0.46,330,3511.2
0.46,330,3587.1
0.47,330,3664.65
0.47,330,3742.2
0.48,330,3821.4
0.48,330,3900.6
0.49,330,3981.45
0.49,330,4062.3
0.5,330,4144.8
0.5,330,4227.3
0.51,330,4311.45
0.51,330,4395.6
0.52,330,4481.4
0.52,330,4567.2
0.53,330,4654.65
0.53,330,4742.1
0.54,330,4831.2
0.54,330,4920.3
0.55,330,5011.05
0.55,330,5101.8
0.56,330,5194.2
0.56,330,5286.6
0.57,330,5380.65
0.57,330,5474.7
0.58,330,5570.4
0.58,330,5666.1
0.59,330,5763.45
0.59,330,5860.8
0.6,330,5959.8
0.6,330,6058.8
0.61,330,6159.45
0.61,330,6260.1
0.62,330,6362.4
0.62,330,6464.7
0.63,330,6568.65
0.63,330,6672.6
0.64,330,6778.2
0.64,330,6883.8
0.65,330,6991.05
0.65,330,7098.3
0.66,330,7207.2
0.66,330,7316.1
0.67,330,7426.65
0.67,330,7537.2
0.68,330,7649.4
0.68,330,7761.6
0.69,330,7875.45
0.69,330,7989.3
0.7,330,8104.8
0.7,330,8220.3
0.71,330,8337.45
0.71,330,8454.6
0.72,330,8573.4
0.72,330,8692.2
0.73,330,8812.65
0.73,330,8933.1
0.74,330,9055.2
0.74,330,9177.3
0.75,330,9301.05
0.75,330,9424.8
0.76,330,9550.2
0.76,330,9675.6
0.77,330,9802.65
0.77,330,9929.7
0.78,330,10058.4
0.78,330,10187.1
0.79,330,10317.45
0.79,330,10447.8
0.8,330,10579.8
0.8,330,10711.8
0.81,330,10845.45
0.81,330,10979.1
0.82,330,11114.4
0.82,330,11249.7
0.83,330,11386.65
0.83,330,11523.6
0.84,330,11662.2
0.84,330,11800.8
0.85,330,11941.05
0.85,330,12081.3
0.86,330,12223.2
0.86,330,12365.1
0.87,330,12508.65
0.87,330,12652.2
0.88,330,12797.4
0.88,330,12942.6
0.89,330,13089.45
0.89,330,13236.3
0.9,330,13384.8
0.9,330,13533.3
0.91,330,13683.45
0.91,330,13833.6
0.92,330,13985.4
0.92,330,14137.2
0.93,330,14290.65
0.93,330,14444.1
0.94,330,14599.2
0.94,330,14754.3
0.95,330,14911.05
0.95,330,15067.8
0.96,330,15226.2
0.96,330,15384.6
0.97,330,15544.65
0.97,330,15704.7
0.98,330,15866.4
0.98,330,16028.1
0.99,330,16191.45
0.99,330,16354.8
1,330,16519.8
1,330,16684.8
1.01,330,16851.45
1.01,330,17018.1
1.02,330,17186.4
1.02,330,17354.7
1.03,330,17524.65
1.03,330,17694.6
1.04,330,17866.2
1.04,330,18037.8
1.05,330,18211.05
1.05,330,18384.3
1.06,330,18559.2
1.06,330,18734.1
1.07,330,18910.65
1.07,330,19087.2
1.08,330,19265.4
1.08,330,19443.6
1.09,330,19623.45
1.09,330,19803.3
1.1,330,19984.8
1.1,330,20166.3
1.11,330,20349.45
1.11,330,20532.6
1.12,330,20717.4
1.12,330,20902.2
1.13,330,21088.65
1.13,330,21275.1
1.14,330,21463.2
1.14,330,21651.3
1.15,330,21841.05
1.15,330,22030.8
1.16,330,22222.2
1.16,330,22413.6
1.17,330,22606.65
1.17,330,22799.7
1.18,330,22994.4
1.18,330,23189.1
1.19,330,23385.45
1.19,330,23581.8
1.2,330,23779.8
1.2,330,23977.8
1.21,330,24177.45
1.21,330,24377.1
1.22,330,24578.4
1.22,330,24779.7
1.23,330,24982.65
1.23,330,25185.6
1.24,330,25390.2
1.24,330,25594.8
1.25,330,25801.05
1.25,330,26007.3
1.26,330,26215.2
1.26,330,26423.1
1.27,330,26632.65
1.27,330,26842.2
1.28,330,27053.4
1.28,330,27264.6
1.29,330,27477.45
1.29,330,27690.3
1.3,330,27904.8
1.3,330,28119.3
1.31,330,28335.45
1.31,330,28551.6
1.32,330,28769.4
1.32,330,28987.2
1.33,330,29206.65
1.33,330,29426.1
1.34,330,29647.2
1.34,330,29868.3
1.35,330,30091.05
1.35,330,30313.8
1.36,330,30538.2
