lot,gridPips,tpMoney
0.01,200,3
0.01,200,3
0.01,200,4.5
0.01,200,6
0.01,200,7.5
0.02,200,10.5
0.02,200,13.5
0.02,200,16.5
0.02,200,19.5
0.02,200,22.5
0.03,200,27
0.03,200,31.5
0.03,200,36
0.04,200,42
0.04,200,48
0.05,200,55.5
0.05,200,63
0.06,200,72
0.06,200,81
0.07,200,91.5
0.07,200,102
0.08,200,114
0.08,200,126
0.09,200,139.5
0.09,200,153
0.1,200,168
0.1,200,183
0.11,200,199.5
0.11,200,216
0.12,200,234
0.12,200,252
0.13,200,271.5
0.13,200,291
0.14,200,312
0.14,200,333
0.15,200,355.5
0.15,200,378
0.16,200,402
0.16,200,426
0.17,200,451.5
0.17,200,477
0.18,200,504
0.18,200,531
0.19,200,559.5
0.19,200,588
0.2,200,618
0.2,200,648
0.21,200,679.5
0.21,200,711
0.22,200,744
0.22,200,777
0.23,200,811.5
0.23,200,846
0.24,200,882
0.24,200,918
0.25,200,955.5
0.25,200,993
0.26,200,1032
0.26,200,1071
0.27,200,1111.5
0.27,200,1152
0.28,200,1194
0.28,200,1236
0.29,200,1279.5
0.29,200,1323
0.3,200,1368
0.3,200,1413
0.31,200,1459.5
0.31,200,1506
0.32,200,1554
0.32,200,1602
0.33,200,1651.5
0.33,200,1701
0.34,200,1752
0.34,200,1803
0.35,200,1855.5
0.35,200,1908
0.36,200,1962
0.36,200,2016
0.37,200,2071.5
0.37,200,2127
0.38,200,2184
0.38,200,2241
0.39,200,2299.5
0.39,200,2358
0.4,200,2418
0.4,200,2478
0.41,200,2539.5
0.41,200,2601
0.42,200,2664
0.42,200,2727
0.43,200,2791.5
0.43,200,2856
0.44,200,2922
0.44,200,2988
0.45,200,3055.5
0.45,200,3123
0.46,200,3192
0.46,200,3261
0.47,200,3331.5
0.47,200,3402
0.48,200,3474
0.48,200,3546
0.49,200,3618.81
0.49,200,3692.64
0.5,200,3767.22
0.5,200,3842.56
0.51,200,3918.64
0.51,200,3995.47
0.52,200,4073.05
0.52,200,4151.37
0.53,200,4230.45
0.53,200,4310.28
0.54,200,4390.85
0.54,200,4472.18
0.55,200,4554.25
0.55,200,4637.07
0.56,200,4720.64
0.56,200,4804.96
0.57,200,4890.03
0.57,200,4975.85
0.58,200,5062.41
0.58,200,5149.73
0.59,200,5237.79
0.59,200,5326.61
0.6,200,5416.17
0.6,200,5506.48
0.61,200,5597.54
0.61,200,5689.35
0.62,200,5781.91
0.62,200,5875.21
0.63,200,5969.27
0.63,200,6064.07
0.64,200,6159.63
0.64,200,6255.93
0.65,200,6352.98
0.65,200,6450.78
0.66,200,6549.33
0.66,200,6648.63
0.67,200,6748.68
0.67,200,6849.48
0.68,200,6951.02
0.68,200,7053.32
0.69,200,7156.36
0.69,200,7260.16
0.7,200,7364.7
0.7,200,7469.99
0.71,200,7576.03
0.71,200,7682.82
0.72,200,7790.35
0.72,200,7898.64
0.73,200,8007.67
0.73,200,8117.46
0.74,200,8227.99
0.74,200,8339.28
0.75,200,8451.31
0.75,200,8564.09
0.76,200,8677.62
0.76,200,8791.89
0.77,200,8906.92
0.77,200,9022.7
0.78,200,9139.22
0.78,200,9256.5
0.79,200,9374.52
0.79,200,9493.29
0.8,200,9612.81
0.8,200,9733.08
0.81,200,9854.1
0.81,200,9975.87
0.82,200,10098.39
0.82,200,10221.65
0.83,200,10345.67
0.83,200,10470.43
0.84,200,10595.94
0.84,200,10722.2
0.85,200,10849.22
0.85,200,10976.97
0.86,200,11105.48
0.86,200,11234.74
0.87,200,11364.75
0.87,200,11495.5
0.88,200,11627.01
0.88,200,11759.26
0.89,200,11892.26
0.89,200,12026.01
0.9,200,12160.51
0.9,200,12295.76
0.91,200,12431.76
0.91,200,12568.51
0.92,200,12706.01
0.92,200,12844.25
0.93,200,12983.24
0.93,200,13122.99
0.94,200,13263.48
0.94,200,13404.72
0.95,200,13546.71
0.95,200,13689.45
0.96,200,13832.94
0.96,200,13977.17
0.97,200,14122.16
