lot,gridPips,tpMoney
0.01,320,3
0.01,320,3
0.01,320,4.5
0.01,320,6
0.01,320,7.5
0.02,320,10.5
0.02,320,13.5
0.02,320,16.5
0.02,320,19.5
0.02,320,22.5
0.03,320,27
0.03,320,31.5
0.03,320,36
0.04,320,42
0.04,320,48
0.05,320,55.5
0.05,320,63
0.06,320,72
0.06,320,81
0.07,320,91.5
0.07,320,102
0.08,320,114
0.08,320,126
0.09,320,139.5
0.09,320,153
0.1,320,168
0.1,320,183
0.11,320,199.5
0.11,320,216
0.12,320,234
0.12,320,252
0.13,320,271.5
0.13,320,291
0.14,320,312
0.14,320,333
0.15,320,355.5
0.15,320,378
0.16,320,402
0.16,320,426
0.17,320,451.5
0.17,320,477
0.18,320,504
0.18,320,531
0.19,320,559.5
0.19,320,588
0.2,320,618
0.2,320,648
0.21,320,679.5
0.21,320,711
0.22,320,744
0.22,320,777
0.23,320,811.5
0.23,320,846
0.24,320,882
0.24,320,918
0.25,320,955.5
0.25,320,993
0.26,320,1032
0.26,320,1071
0.27,320,1111.5
0.27,320,1152
0.28,320,1194
0.28,320,1236
0.29,320,1279.5
0.29,320,1323
0.3,320,1368
0.3,320,1413
0.31,320,1459.5
0.31,320,1506
0.32,320,1554
0.32,320,1602
0.33,320,1651.5
0.33,320,1701
0.34,320,1752
0.34,320,1803
0.35,320,1855.5
0.35,320,1908
0.36,320,1962
0.36,320,2016
0.37,320,2071.5
0.37,320,2127
0.38,320,2184
0.38,320,2241
0.39,320,2299.5
0.39,320,2358
0.4,320,2418
0.4,320,2478
0.41,320,2539.5
0.41,320,2601
0.42,320,2664
0.42,320,2727
0.43,320,2791.5
0.43,320,2856
0.44,320,2922
0.44,320,2988
0.45,320,3055.5
0.45,320,3123
0.46,320,3192
0.46,320,3261
0.47,320,3331.5
0.47,320,3402
0.48,320,3474
0.48,320,3546
0.49,320,3618.81
0.49,320,3692.64
0.5,320,3767.22
0.5,320,3842.56
0.51,320,3918.64
0.51,320,3995.47
0.52,320,4073.05
0.52,320,4151.37
0.53,320,4230.45
0.53,320,4310.28
0.54,320,4390.85
0.54,320,4472.18
0.55,320,4554.25
0.55,320,4637.07
0.56,320,4720.64
0.56,320,4804.96
0.57,320,4890.03
0.57,320,4975.85
0.58,320,5062.41
0.58,320,5149.73
0.59,320,5237.79
0.59,320,5326.61
0.6,320,5416.17
0.6,320,5506.48
0.61,320,5597.54
0.61,320,5689.35
0.62,320,5781.91
0.62,320,5875.21
0.63,320,5969.27
0.63,320,6064.07
0.64,320,6159.63
0.64,320,6255.93
0.65,320,6352.98
0.65,320,6450.78
0.66,320,6549.33
0.66,320,6648.63
0.67,320,6748.68
0.67,320,6849.48
0.68,320,6951.02
0.68,320,7053.32
0.69,320,7156.36
0.69,320,7260.16
0.7,320,7364.7
0.7,320,7469.99
0.71,320,7576.03
0.71,320,7682.82
0.72,320,7790.35
0.72,320,7898.64
0.73,320,8007.67
0.73,320,8117.46
0.74,320,8227.99
0.74,320,8339.28
0.75,320,8451.31
0.75,320,8564.09
0.76,320,8677.62
0.76,320,8791.89
0.77,320,8906.92
0.77,320,9022.7
0.78,320,9139.22
0.78,320,9256.5
0.79,320,9374.52
0.79,320,9493.29
0.8,320,9612.81
0.8,320,9733.08
0.81,320,9854.1
0.81,320,9975.87
0.82,320,10098.39
0.82,320,10221.65
0.83,320,10345.67
0.83,320,10470.43
0.84,320,10595.94
0.84,320,10722.2
0.85,320,10849.22
0.85,320,10976.97
0.86,320,11105.48
0.86,320,11234.74
0.87,320,11364.75
0.87,320,11495.5
0.88,320,11627.01
0.88,320,11759.26
0.89,320,11892.26
0.89,320,12026.01
0.9,320,12160.51
0.9,320,12295.76
0.91,320,12431.76
0.91,320,12568.51
0.92,320,12706.01
0.92,320,12844.25
0.93,320,12983.24
0.93,320,13122.99
0.94,320,13263.48
0.94,320,13404.72
0.95,320,13546.71
0.95,320,13689.45
0.96,320,13832.94
0.96,320,13977.17
0.97,320,14122.16
