Lot,GridPoints,TpMoney
0.01,170,0.85
0.01,170,1.7
0.01,170,2.55
0.01,170,3.4
0.01,170,4.25
0.02,170,5.95
0.02,170,7.65
0.02,170,9.35
0.02,170,11.05
0.02,170,12.75
0.03,170,15.3
0.03,170,17.85
0.03,170,20.4
0.04,170,23.8
0.04,170,27.2
0.05,170,31.45
0.05,170,35.7
0.06,170,40.8
0.06,170,45.9
0.07,170,51.85
0.07,170,57.8
0.08,170,64.6
0.08,170,71.4
0.09,170,79.05
0.09,170,86.7
0.1,170,95.2
0.1,170,103.7
0.11,170,113.05
0.11,170,122.4
0.12,170,132.6
0.12,170,142.8
0.13,170,153.85
0.13,170,164.9
0.14,170,176.8
0.14,170,188.7
0.15,170,201.45
0.15,170,214.2
0.16,170,227.8
0.16,170,241.4
0.17,170,255.85
0.17,170,270.3
0.18,170,285.6
0.18,170,300.9
0.19,170,317.05
0.19,170,333.2
0.2,170,350.2
0.2,170,367.2
0.21,170,385.05
0.21,170,402.9
0.22,170,421.6
0.22,170,440.3
0.23,170,459.85
0.23,170,479.4
0.24,170,499.8
0.24,170,520.2
0.25,170,541.45
0.25,170,562.7
0.26,170,584.8
0.26,170,606.9
0.27,170,629.85
0.27,170,652.8
0.28,170,676.6
0.28,170,700.4
0.29,170,725.05
0.29,170,749.7
0.3,170,775.2
0.3,170,800.7
0.31,170,827.05
0.31,170,853.4
0.32,170,880.6
0.32,170,907.8
0.33,170,935.85
0.33,170,963.9
0.34,170,992.8
0.34,170,1021.7
0.35,170,1051.45
0.35,170,1081.2
0.36,170,1111.8
0.36,170,1142.4
0.37,170,1173.85
0.37,170,1205.3
0.38,170,1237.6
0.38,170,1269.9
0.39,170,1303.05
0.39,170,1336.2
0.4,170,1370.2
0.4,170,1404.2
0.41,170,1439.05
0.41,170,1473.9
0.42,170,1509.6
0.42,170,1545.3
0.43,170,1581.85
0.43,170,1618.4
0.44,170,1655.8
0.44,170,1693.2
0.45,170,1731.45
0.45,170,1769.7
0.46,170,1808.8
0.46,170,1847.9
0.47,170,1887.85
0.47,170,1927.8
0.48,170,1968.6
0.48,170,2009.4
0.49,170,2051.05
0.49,170,2092.7
0.5,170,2135.2
0.5,170,2177.7
0.51,170,2221.05
0.51,170,2264.4
0.52,170,2308.6
0.52,170,2352.8
0.53,170,2397.85
0.53,170,2442.9
0.54,170,2488.8
0.54,170,2534.7
0.55,170,2581.45
0.55,170,2628.2
0.56,170,2675.8
0.56,170,2723.4
0.57,170,2771.85
0.57,170,2820.3
0.58,170,2869.6
0.58,170,2918.9
0.59,170,2969.05
0.59,170,3019.2
0.6,170,3070.2
0.6,170,3121.2
0.61,170,3173.05
0.61,170,3224.9
0.62,170,3277.6
0.62,170,3330.3
0.63,170,3383.85
0.63,170,3437.4
0.64,170,3491.8
0.64,170,3546.2
0.65,170,3601.45
0.65,170,3656.7
0.66,170,3712.8
0.66,170,3768.9
0.67,170,3825.85
0.67,170,3882.8
0.68,170,3940.6
0.68,170,3998.4
0.69,170,4057.05
0.69,170,4115.7
0.7,170,4175.2
0.7,170,4234.7
0.71,170,4295.05
0.71,170,4355.4
0.72,170,4416.6
0.72,170,4477.8
0.73,170,4539.85
0.73,170,4601.9
0.74,170,4664.8
0.74,170,4727.7
0.75,170,4791.45
0.75,170,4855.2
0.76,170,4919.8
0.76,170,4984.4
0.77,170,5049.85
0.77,170,5115.3
0.78,170,5181.6
0.78,170,5247.9
0.79,170,5315.05
0.79,170,5382.2
0.8,170,5450.2
0.8,170,5518.2
0.81,170,5587.05
0.81,170,5655.9
0.82,170,5725.6
0.82,170,5795.3
0.83,170,5865.85
0.83,170,5936.4
0.84,170,6007.8
0.84,170,6079.2
0.85,170,6151.45
0.85,170,6223.7
0.86,170,6296.8
0.86,170,6369.9
0.87,170,6443.85
0.87,170,6517.8
0.88,170,6592.6
0.88,170,6667.4
0.89,170,6743.05
0.89,170,6818.7
0.9,170,6895.2
0.9,170,6971.7
0.91,170,7049.05
0.91,170,7126.4
0.92,170,7204.6
0.92,170,7282.8
0.93,170,7361.85
0.93,170,7440.9
0.94,170,7520.8
0.94,170,7600.7
0.95,170,7681.45
0.95,170,7762.2
0.96,170,7843.8
0.96,170,7925.4
0.97,170,8007.85
0.97,170,8090.3
0.98,170,8173.6
0.98,170,8256.9
0.99,170,8341.05
0.99,170,8425.2
1,170,8510.2
1,170,8595.2
1.01,170,8681.05
1.01,170,8766.9
1.02,170,8853.6
1.02,170,8940.3
1.03,170,9027.85
1.03,170,9115.4
1.04,170,9203.8
1.04,170,9292.2
1.05,170,9381.45
1.05,170,9470.7
1.06,170,9560.8
1.06,170,9650.9
1.07,170,9741.85
1.07,170,9832.8
1.08,170,9924.6
1.08,170,10016.4
1.09,170,10109.05
1.09,170,10201.7
1.1,170,10295.2
1.1,170,10388.7
1.11,170,10483.05
1.11,170,10577.4
1.12,170,10672.6
1.12,170,10767.8
1.13,170,10863.85
1.13,170,10959.9
1.14,170,11056.8
1.14,170,11153.7
1.15,170,11251.45
1.15,170,11349.2
1.16,170,11447.8
1.16,170,11546.4
1.17,170,11645.85
1.17,170,11745.3
1.18,170,11845.6
1.18,170,11945.9
1.19,170,12047.05
1.19,170,12148.2
1.2,170,12250.2
1.2,170,12352.2
1.21,170,12455.05
1.21,170,12557.9
1.22,170,12661.6
1.22,170,12765.3
1.23,170,12869.85
1.23,170,12974.4
1.24,170,13079.8
1.24,170,13185.2
1.25,170,13291.45
1.25,170,13397.7
1.26,170,13504.8
1.26,170,13611.9
1.27,170,13719.85
1.27,170,13827.8
1.28,170,13936.6
1.28,170,14045.4
1.29,170,14155.05
1.29,170,14264.7
1.3,170,14375.2
1.3,170,14485.7
1.31,170,14597.05
1.31,170,14708.4
1.32,170,14820.6
1.32,170,14932.8
1.33,170,15045.85
1.33,170,15158.9
1.34,170,15272.8
1.34,170,15386.7
1.35,170,15501.45
1.35,170,15616.2
1.36,170,15731.8
1.36,170,15847.4
1.37,170,15963.85
1.37,170,16080.3
1.38,170,16197.6
1.38,170,16314.9
1.39,170,16433.05
1.39,170,16551.2
