Lot,GridPoints,TpMoney
0.01,510,2.55
0.01,510,5.1
0.01,510,7.65
0.01,510,10.2
0.01,510,12.75
0.02,510,17.85
0.02,510,22.95
0.02,510,28.05
0.02,510,33.15
0.02,510,38.25
0.03,510,45.9
0.03,510,53.55
0.03,510,61.2
0.04,510,71.4
0.04,510,81.6
0.05,510,94.35
0.05,510,107.1
0.06,510,122.4
0.06,510,137.7
0.07,510,155.55
0.07,510,173.4
0.08,510,193.8
0.08,510,214.2
0.09,510,237.15
0.09,510,260.1
0.1,510,285.6
0.1,510,311.1
0.11,510,339.15
0.11,510,367.2
0.12,510,397.8
0.12,510,428.4
0.13,510,461.55
0.13,510,494.7
0.14,510,530.4
0.14,510,566.1
0.15,510,604.35
0.15,510,642.6
0.16,510,683.4
0.16,510,724.2
0.17,510,767.55
0.17,510,810.9
0.18,510,856.8
0.18,510,902.7
0.19,510,951.15
0.19,510,999.6
0.2,510,1050.6
0.2,510,1101.6
0.21,510,1155.15
0.21,510,1208.7
0.22,510,1264.8
0.22,510,1320.9
0.23,510,1379.55
0.23,510,1438.2
0.24,510,1499.4
0.24,510,1560.6
0.25,510,1624.35
0.25,510,1688.1
0.26,510,1754.4
0.26,510,1820.7
0.27,510,1889.55
0.27,510,1958.4
0.28,510,2029.8
0.28,510,2101.2
0.29,510,2175.15
0.29,510,2249.1
0.3,510,2325.6
0.3,510,2402.1
0.31,510,2481.15
0.31,510,2560.2
0.32,510,2641.8
0.32,510,2723.4
0.33,510,2807.55
0.33,510,2891.7
0.34,510,2978.4
0.34,510,3065.1
0.35,510,3154.35
0.35,510,3243.6
0.36,510,3335.4
0.36,510,3427.2
0.37,510,3521.55
0.37,510,3615.9
0.38,510,3712.8
0.38,510,3809.7
0.39,510,3909.15
0.39,510,4008.6
0.4,510,4110.6
0.4,510,4212.6
0.41,510,4317.15
0.41,510,4421.7
0.42,510,4528.8
0.42,510,4635.9
0.43,510,4745.55
0.43,510,4855.2
0.44,510,4967.4
0.44,510,5079.6
0.45,510,5194.35
0.45,510,5309.1
0.46,510,5426.4
0.46,510,5543.7
0.47,510,5663.55
0.47,510,5783.4
0.48,510,5905.8
0.48,510,6028.2
0.49,510,6153.15
0.49,510,6278.1
0.5,510,6405.6
0.5,510,6533.1
0.51,510,6663.15
0.51,510,6793.2
0.52,510,6925.8
0.52,510,7058.4
0.53,510,7193.55
0.53,510,7328.7
0.54,510,7466.4
0.54,510,7604.1
0.55,510,7744.35
0.55,510,7884.6
0.56,510,8027.4
0.56,510,8170.2
0.57,510,8315.55
0.57,510,8460.9
0.58,510,8608.8
0.58,510,8756.7
