lot,gridPips,tpMoney
0.01,300,3
0.01,300,3
0.01,300,4.5
0.01,300,6
0.01,300,7.5
0.02,300,10.5
0.02,300,13.5
0.02,300,16.5
0.02,300,19.5
0.02,300,22.5
0.03,300,27
0.03,300,31.5
0.03,300,36
0.04,300,42
0.04,300,48
0.05,300,55.5
0.05,300,63
0.06,300,72
0.06,300,81
0.07,300,91.5
0.07,300,102
0.08,300,114
0.08,300,126
0.09,300,139.5
0.09,300,153
0.1,300,168
0.1,300,183
0.11,300,199.5
0.11,300,216
0.12,300,234
0.12,300,252
0.13,300,271.5
0.13,300,291
0.14,300,312
0.14,300,333
0.15,300,355.5
0.15,300,378
0.16,300,402
0.16,300,426
0.17,300,451.5
0.17,300,477
0.18,300,504
0.18,300,531
0.19,300,559.5
0.19,300,588
0.2,300,618
0.2,300,648
0.21,300,679.5
0.21,300,711
0.22,300,744
0.22,300,777
0.23,300,811.5
0.23,300,846
0.24,300,882
0.24,300,918
0.25,300,955.5
0.25,300,993
0.26,300,1032
0.26,300,1071
0.27,300,1111.5
0.27,300,1152
0.28,300,1194
0.28,300,1236
0.29,300,1279.5
0.29,300,1323
0.3,300,1368
0.3,300,1413
0.31,300,1459.5
0.31,300,1506
0.32,300,1554
0.32,300,1602
0.33,300,1651.5
0.33,300,1701
0.34,300,1752
0.34,300,1803
0.35,300,1855.5
0.35,300,1908
0.36,300,1962
0.36,300,2016
0.37,300,2071.5
0.37,300,2127
0.38,300,2184
0.38,300,2241
0.39,300,2299.5
0.39,300,2358
0.4,300,2418
0.4,300,2478
0.41,300,2539.5
0.41,300,2601
0.42,300,2664
0.42,300,2727
0.43,300,2791.5
0.43,300,2856
0.44,300,2922
0.44,300,2988
0.45,300,3055.5
0.45,300,3123
0.46,300,3192
0.46,300,3261
0.47,300,3331.5
0.47,300,3402
0.48,300,3474
0.48,300,3546
0.49,300,3618.81
0.49,300,3692.64
0.5,300,3767.22
0.5,300,3842.56
0.51,300,3918.64
0.51,300,3995.47
0.52,300,4073.05
0.52,300,4151.37
0.53,300,4230.45
0.53,300,4310.28
0.54,300,4390.85
0.54,300,4472.18
0.55,300,4554.25
0.55,300,4637.07
0.56,300,4720.64
0.56,300,4804.96
0.57,300,4890.03
0.57,300,4975.85
0.58,300,5062.41
0.58,300,5149.73
0.59,300,5237.79
0.59,300,5326.61
0.6,300,5416.17
0.6,300,5506.48
0.61,300,5597.54
0.61,300,5689.35
0.62,300,5781.91
0.62,300,5875.21
0.63,300,5969.27
0.63,300,6064.07
0.64,300,6159.63
0.64,300,6255.93
0.65,300,6352.98
0.65,300,6450.78
0.66,300,6549.33
0.66,300,6648.63
0.67,300,6748.68
0.67,300,6849.48
0.68,300,6951.02
0.68,300,7053.32
0.69,300,7156.36
0.69,300,7260.16
0.7,300,7364.7
0.7,300,7469.99
0.71,300,7576.03
0.71,300,7682.82
0.72,300,7790.35
0.72,300,7898.64
0.73,300,8007.67
0.73,300,8117.46
0.74,300,8227.99
0.74,300,8339.28
0.75,300,8451.31
0.75,300,8564.09
0.76,300,8677.62
0.76,300,8791.89
0.77,300,8906.92
0.77,300,9022.7
0.78,300,9139.22
0.78,300,9256.5
0.79,300,9374.52
0.79,300,9493.29
0.8,300,9612.81
0.8,300,9733.08
0.81,300,9854.1
0.81,300,9975.87
0.82,300,10098.39
0.82,300,10221.65
0.83,300,10345.67
0.83,300,10470.43
0.84,300,10595.94
0.84,300,10722.2
0.85,300,10849.22
0.85,300,10976.97
0.86,300,11105.48
0.86,300,11234.74
0.87,300,11364.75
0.87,300,11495.5
0.88,300,11627.01
0.88,300,11759.26
0.89,300,11892.26
0.89,300,12026.01
0.9,300,12160.51
0.9,300,12295.76
0.91,300,12431.76
0.91,300,12568.51
0.92,300,12706.01
0.92,300,12844.25
0.93,300,12983.24
0.93,300,13122.99
0.94,300,13263.48
0.94,300,13404.72
0.95,300,13546.71
0.95,300,13689.45
0.96,300,13832.94
0.96,300,13977.17
0.97,300,14122.16
