lot,gridPips,tpMoney
0.01,800,4
0.01,800,8
0.01,800,12
0.01,800,16
0.01,800,20
0.02,800,28
0.02,800,36
0.02,800,44
0.02,800,52
0.02,800,60
0.03,800,72
0.03,800,84
0.03,800,96
0.04,800,112
0.04,800,128
0.05,800,148
0.05,800,168
0.06,800,192
0.06,800,216
0.07,800,244
0.07,800,272
0.08,800,304
0.08,800,336
0.09,800,372
0.09,800,408
0.1,800,448
0.1,800,488
0.11,800,532
0.11,800,576
0.12,800,624
0.12,800,672
0.13,800,724
0.13,800,776
0.14,800,832
0.14,800,888
0.15,800,948
0.15,800,1008
0.16,800,1072
0.16,800,1136
0.17,800,1204
0.17,800,1272
0.18,800,1344
0.18,800,1416
0.19,800,1492
0.19,800,1568
0.2,800,1648
0.2,800,1728
0.21,800,1812
0.21,800,1896
0.22,800,1984
0.22,800,2072
0.23,800,2164
0.23,800,2256
0.24,800,2352
0.24,800,2448
0.25,800,2548
0.25,800,2648
0.26,800,2752
0.26,800,2856
0.27,800,2964
0.27,800,3072
0.28,800,3184
0.28,800,3296
0.29,800,3412
0.29,800,3528
0.3,800,3648
0.3,800,3768
0.31,800,3892
0.31,800,4016
0.32,800,4144
0.32,800,4272
0.33,800,4404
0.33,800,4536
0.34,800,4672
0.34,800,4808
0.35,800,4948
0.35,800,5088
0.36,800,5232
0.36,800,5376
0.37,800,5524
0.37,800,5672
0.38,800,5824
0.38,800,5976
0.39,800,6132
0.39,800,6288
0.4,800,6448
0.4,800,6608
0.41,800,6772
0.41,800,6936
0.42,800,7104
0.42,800,7272
0.43,800,7444
0.43,800,7616
0.44,800,7792
0.44,800,7968
0.45,800,8148
0.45,800,8328
0.46,800,8512
0.46,800,8696
0.47,800,8884
0.47,800,9072
0.48,800,9264
0.48,800,9456
0.49,800,9652
0.49,800,9848
0.5,800,10048
0.5,800,10248
0.51,800,10452
0.51,800,10656
0.52,800,10864
0.52,800,11072
0.53,800,11284
0.53,800,11496
0.54,800,11712
0.54,800,11928
0.55,800,12148
0.55,800,12368
0.56,800,12592
0.56,800,12816
0.57,800,13044
0.57,800,13272
0.58,800,13504
0.58,800,13736
0.59,800,13972
0.59,800,14208
0.6,800,14448
0.6,800,14688
0.61,800,14932
0.61,800,15176
0.62,800,15424
0.62,800,15672
0.63,800,15924
0.63,800,16176
0.64,800,16432
0.64,800,16688
0.65,800,16948
0.65,800,17208
0.66,800,17472
0.66,800,17736
0.67,800,18004
0.67,800,18272
0.68,800,18544
0.68,800,18816
0.69,800,19092
0.69,800,19368
0.7,800,19648
0.7,800,19928
0.71,800,20212
0.71,800,20496
0.72,800,20784
0.72,800,21072
0.73,800,21364
0.73,800,21656
0.74,800,21952
0.74,800,22248
0.75,800,22548
0.75,800,22848
0.76,800,23152
0.76,800,23456
0.77,800,23764
0.77,800,24072
0.78,800,24384
0.78,800,24696
0.79,800,25012
0.79,800,25328
0.8,800,25648
0.8,800,25968
0.81,800,26292
0.81,800,26616
0.82,800,26944
0.82,800,27272
0.83,800,27604
0.83,800,27936
0.84,800,28272
0.84,800,28608
