lot,gridPoints,tpMoney
0.01,470,2.35
0.01,470,4.7
0.01,470,7.05
0.01,470,9.4
0.01,470,11.75
0.02,470,16.45
0.02,470,21.15
0.02,470,25.85
0.02,470,30.55
0.02,470,35.25
0.03,470,42.3
0.03,470,49.35
0.03,470,56.4
0.03,470,63.45
0.03,470,70.5
0.04,470,79.9
0.04,470,89.3
0.04,470,98.7
0.04,470,108.1
0.04,470,117.5
0.05,470,129.25
0.05,470,141
0.05,470,152.75
0.05,470,164.5
0.05,470,176.25
0.06,470,190.35
0.06,470,204.45
0.06,470,218.55
0.06,470,232.65
0.06,470,246.75
0.07,470,263.2
0.07,470,279.65
0.07,470,296.1
0.07,470,312.55
0.07,470,329
0.08,470,347.8
0.08,470,366.6
0.08,470,385.4
0.08,470,404.2
0.08,470,423
0.09,470,444.15
0.09,470,465.3
0.09,470,486.45
0.09,470,507.6
0.09,470,528.75
0.1,470,552.25
0.1,470,575.75
0.1,470,599.25
0.1,470,622.75
0.1,470,646.25
0.11,470,672.1
0.11,470,697.95
0.11,470,723.8
0.11,470,749.65
0.11,470,775.5
0.12,470,803.7
0.12,470,831.9
0.12,470,860.1
0.12,470,888.3
0.12,470,916.5
0.13,470,947.05
0.13,470,977.6
0.13,470,1008.15
0.13,470,1038.7
0.13,470,1069.25
0.14,470,1102.15
0.14,470,1135.05
0.14,470,1167.95
0.14,470,1200.85
0.14,470,1233.75
0.15,470,1269
0.15,470,1304.25
0.15,470,1339.5
0.15,470,1374.75
0.15,470,1410
0.16,470,1447.6
0.16,470,1485.2
0.16,470,1522.8
0.16,470,1560.4
0.16,470,1598
0.17,470,1637.95
0.17,470,1677.9
0.17,470,1717.85
0.17,470,1757.8
0.17,470,1797.75
0.18,470,1840.05
0.18,470,1882.35
0.18,470,1924.65
0.18,470,1966.95
0.18,470,2009.25
0.19,470,2053.9
0.19,470,2098.55
0.19,470,2143.2
0.19,470,2187.85
0.19,470,2232.5
0.2,470,2279.5
0.2,470,2326.5
0.2,470,2373.5
0.2,470,2420.5
0.2,470,2467.5
0.21,470,2516.85
0.21,470,2566.2
0.21,470,2615.55
0.21,470,2664.9
0.21,470,2714.25
0.22,470,2765.95
0.22,470,2817.65
0.22,470,2869.35
0.22,470,2921.05
0.22,470,2972.75
0.23,470,3026.8
0.23,470,3080.85
0.23,470,3134.9
0.23,470,3188.95
0.23,470,3243
0.24,470,3299.4
0.24,470,3355.8
0.24,470,3412.2
0.24,470,3468.6
0.24,470,3525
0.25,470,3583.75
0.25,470,3642.5
0.25,470,3701.25
0.25,470,3760
0.25,470,3818.75
0.26,470,3879.85
0.26,470,3940.95
0.26,470,4002.05
0.26,470,4063.15
0.26,470,4124.25
0.27,470,4187.7
0.27,470,4251.15
0.27,470,4314.6
0.27,470,4378.05
0.27,470,4441.5
0.28,470,4507.3
0.28,470,4573.1
0.28,470,4638.9
0.28,470,4704.7
0.28,470,4770.5
0.29,470,4838.65
0.29,470,4906.8
0.29,470,4974.95
0.29,470,5043.1
0.29,470,5111.25
0.3,470,5181.75
0.3,470,5252.25
0.3,470,5322.75
0.3,470,5393.25
0.3,470,5463.75
0.31,470,5536.6
0.31,470,5609.45
0.31,470,5682.3
0.31,470,5755.15
0.31,470,5828
0.32,470,5903.2
0.32,470,5978.4
0.32,470,6053.6
0.32,470,6128.8
0.32,470,6204
0.33,470,6281.55
0.33,470,6359.1
0.33,470,6436.65
0.33,470,6514.2
0.33,470,6591.75
0.34,470,6671.65
0.34,470,6751.55
0.34,470,6831.45
0.34,470,6911.35
0.34,470,6991.25
0.35,470,7073.5
0.35,470,7155.75
0.35,470,7238
0.35,470,7320.25
0.35,470,7402.5
0.36,470,7487.1
0.36,470,7571.7
0.36,470,7656.3
0.36,470,7740.9
0.36,470,7825.5
0.37,470,7912.45
0.37,470,7999.4
0.37,470,8086.35
0.37,470,8173.3
0.37,470,8260.25
0.38,470,8349.55
0.38,470,8438.85
0.38,470,8528.15
0.38,470,8617.45
0.38,470,8706.75
0.39,470,8798.4
0.39,470,8890.05
0.39,470,8981.7
0.39,470,9073.35
0.39,470,9165
0.4,470,9259
0.4,470,9353
0.4,470,9447
0.4,470,9541
0.4,470,9635
0.41,470,9731.35
0.41,470,9827.7
0.41,470,9924.05
